Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2023-03-29,159.5151824951172,100.25,101.13956451416016,277.22589111328125,193.8800048828125
2023-03-30,161.09275817871094,102.0,100.64080047607422,280.7243957519531,195.27999877929688
2023-03-31,163.61293029785156,103.29000091552734,103.47378540039062,284.9246826171875,207.4600067138672
2023-04-03,164.8730010986328,102.41000366210938,104.10222625732422,283.8672180175781,194.77000427246094
2023-04-04,164.33724975585938,103.94999694824219,104.46134185791016,283.81781005859375,192.5800018310547
2023-04-05,162.4818115234375,101.0999984741211,104.21195220947266,281.0110168457031,185.52000427246094
2023-04-06,163.3748016357422,102.05999755859375,108.1521987915039,288.1860656738281,185.05999755859375
2023-04-10,160.76535034179688,102.16999816894531,106.17709350585938,286.0019226074219,184.50999450683594
2023-04-11,159.54495239257812,99.91999816894531,105.08977508544922,279.51873779296875,186.7899932861328
2023-04-12,158.8504180908203,97.83000183105469,104.38153839111328,280.1709899902344,180.5399932861328
2023-04-13,164.2677764892578,102.4000015258789,107.16464233398438,286.4466552734375,185.89999389648438
2023-04-14,163.9205322265625,102.51000213623047,108.60108947753906,282.78997802734375,185.0
2023-04-17,163.9403533935547,102.73999786376953,105.708251953125,285.4188232421875,187.0399932861328
2023-04-18,165.17066955566406,102.30000305175781,104.24188232421875,284.9938659667969,184.30999755859375
2023-04-19,166.32164001464844,104.30000305175781,103.92266845703125,285.0729675292969,180.58999633789062
2023-04-20,165.34927368164062,103.80999755859375,105.0299301147461,282.76031494140625,162.99000549316406
2023-04-21,163.73199462890625,106.95999908447266,105.1496353149414,282.4144287109375,165.0800018310547
2023-04-24,164.03956604003906,106.20999908447266,105.708251953125,278.4710998535156,162.5500030517578
2023-04-25,162.4917449951172,102.56999969482422,103.5934829711914,272.1955261230469,160.6699981689453
2023-04-26,162.4818115234375,104.9800033569336,103.45382690429688,291.9118957519531,153.75
2023-04-27,167.0955352783203,109.81999969482422,107.3242416381836,301.26116943359375,160.19000244140625
2023-04-28,168.35562133789062,105.44999694824219,107.07486724853516,303.6627197265625,164.30999755859375
2023-05-01,168.26634216308594,102.05000305175781,106.93521118164062,301.9826354980469,161.8300018310547
2023-05-02,167.2245330810547,103.62999725341797,105.05985260009766,301.8343505859375,160.30999755859375
2023-05-03,166.14303588867188,103.6500015258789,105.1496353149414,300.836181640625,160.61000061035156
2023-05-04,164.49600219726562,104.0,104.43141174316406,301.8343505859375,161.1999969482422
2023-05-05,172.21527099609375,105.66000366210938,105.30923461914062,307.01300048828125,170.05999755859375
2023-05-08,172.1457977294922,105.83000183105469,107.50379943847656,305.03643798828125,171.7899932861328
2023-05-09,170.4293212890625,106.62000274658203,107.0848388671875,303.4057922363281,169.14999389648438
2023-05-10,172.20535278320312,110.19000244140625,111.4739761352539,308.6535949707031,168.5399932861328
2023-05-11,172.3938446044922,112.18000030517578,116.28206634521484,306.4793701171875,172.0800018310547
2023-05-12,171.45989990234375,110.26000213623047,117.2197494506836,305.3526611328125,167.97999572753906
