Date,KO,PEP,PG,V,WMT
2023-02-23,56.95452117919922,167.48580932617188,134.88966369628906,218.56478881835938,46.20134735107422
2023-02-24,56.71757125854492,167.1533203125,134.1287841796875,217.0031280517578,46.32490921020508
2023-02-27,56.6986083984375,167.10581970214844,134.01318359375,217.7938690185547,45.98999786376953
2023-02-28,56.40478515625,164.84494018554688,132.4914093017578,217.3885955810547,46.21435546875
2023-03-01,55.78870391845703,162.7550506591797,132.58773803710938,215.82691955566406,45.5705451965332
2023-03-02,56.603824615478516,165.75807189941406,134.77407836914062,216.51882934570312,45.684349060058594
2023-03-03,56.33843994140625,165.595458984375,135.7565155029297,221.17417907714844,45.7396240234375
2023-03-06,57.2104377746582,165.93020629882812,135.17861938476562,224.11959838867188,45.733123779296875
2023-03-07,56.878692626953125,165.10772705078125,132.4914093017578,220.5811309814453,45.27790451049805
2023-03-08,56.90713119506836,165.55722045898438,132.51068115234375,219.61248779296875,44.90398025512695
2023-03-09,56.35739517211914,164.30438232421875,131.53790283203125,217.45779418945312,44.60157775878906
2023-03-10,56.12044143676758,164.5243377685547,132.1350555419922,213.63267517089844,44.53654861450195
2023-03-13,56.68913650512695,166.1310272216797,133.050048828125,211.98207092285156,44.6666145324707
2023-03-14,56.89765167236328,165.95889282226562,134.69705200195312,216.1234588623047,44.90398025512695
2023-03-15,57.27678298950195,168.92364501953125,136.6040802001953,213.86001586914062,45.40471649169922
2023-03-16,57.591957092285156,168.80885314941406,137.62501525878906,214.92747497558594,45.14678955078125
2023-03-17,57.32454299926758,167.48907470703125,137.6635284423828,214.86819458007812,45.512454986572266
2023-03-20,57.87848663330078,169.84173583984375,139.78250122070312,215.6193389892578,46.00218963623047
2023-03-21,57.61106872558594,170.24342346191406,138.7711639404297,219.37527465820312,45.84547805786133
2023-03-22,57.353187561035156,168.80885314941406,138.6844940185547,217.4874267578125,45.5516357421875
2023-03-23,57.22902297973633,167.98638916015625,138.49185180664062,220.0078582763672,45.92056655883789
2023-03-24,58.16501998901367,171.27630615234375,141.31390380859375,218.475830078125,46.296024322509766
2023-03-27,58.59480285644531,171.65887451171875,140.57228088378906,219.2368927001953,47.06980895996094
2023-03-28,58.66166305541992,171.6014862060547,140.9671630859375,217.77407836914062,46.8869743347168
2023-03-29,59.08190155029297,172.78736877441406,141.40060424804688,220.7096405029297,47.08939743041992
2023-03-30,59.072349548339844,172.94039916992188,142.01698303222656,219.78053283691406,47.55954360961914
2023-03-31,59.244266510009766,174.34628295898438,143.21131896972656,222.84457397460938,48.140689849853516
2023-04-03,59.59765625,174.5375213623047,144.00108337402344,226.343505859375,48.545536041259766
2023-04-04,59.41618728637695,173.9158935546875,144.69456481933594,225.01905822753906,48.0688591003418
2023-04-05,59.97968673706055,175.6278076171875,145.68661499023438,225.5231170654297,48.8654899597168
2023-04-06,60.01789093017578,176.31637573242188,146.6112518310547,223.36843872070312,49.23442077636719
2023-04-10,59.874629974365234,175.2069854736328,145.39767456054688,223.8032989501953,49.139739990234375
2023-04-11,59.769569396972656,174.93919372558594,145.1087188720703,225.7998809814453,48.99608612060547
2023-04-12,59.874629974365234,174.5949249267578,145.5036163330078,225.1673126220703,48.757747650146484
2023-04-13,60.31397247314453,176.3354949951172,146.1778106689453,229.99069213867188,48.806724548339844
2023-04-14,60.21846008300781,175.5034637451172,145.43618774414062,231.30528259277344,48.47696304321289
2023-04-17,60.610050201416016,176.40245056152344,145.48435974121094,230.7715301513672,48.81651306152344
2023-04-18,60.7055549621582,176.765869140625,145.63845825195312,230.89015197753906,48.92426300048828
2023-04-19,60.82016372680664,176.6606903076172,145.6673583984375,229.87208557128906,48.976497650146484
2023-04-20,61.08759307861328,177.2440643310547,146.20138549804688,231.87855529785156,49.28992462158203
2023-04-21,61.17355728149414,177.32057189941406,151.26051330566406,231.33489990234375,49.538063049316406
2023-04-24,61.07804489135742,177.40664672851562,151.53189086914062,230.0598602294922,49.87433624267578
2023-04-25,60.9825325012207,181.43295288085938,151.57064819335938,226.92666625976562,49.485816955566406
2023-04-26,60.696006774902344,180.3140106201172,149.81642150878906,225.50335693359375,49.27033233642578
2023-04-27,60.82016372680664,181.41383361816406,151.648193359375,226.35336303710938,49.42377853393555
2023-04-28,61.26905822753906,182.56146240234375,151.56097412109375,230.0302276611328,49.28992462158203
2023-05-01,61.41232681274414,183.31700134277344,151.74513244628906,229.8127899169922,49.49235153198242
2023-05-02,61.13534927368164,183.86212158203125,151.60940551757812,224.34690856933594,49.358489990234375
2023-05-03,60.79151916503906,183.79518127441406,151.4155731201172,223.3585205078125,49.1756591796875
2023-05-04,60.858367919921875,184.94284057617188,150.71774291992188,222.9829559326172,49.313297271728516
2023-05-05,61.1448974609375,185.79400634765625,151.22174072265625,229.09124755859375,49.73934555053711
2023-05-08,61.04938888549805,184.9141387939453,150.5142364501953,229.53602600097656,50.05068588256836
2023-05-09,60.543190002441406,185.669677734375,148.97325134277344,230.55406188964844,50.13589859008789
2023-05-10,60.648250579833984,185.79400634765625,149.2833709716797,228.587158203125,49.994972229003906
