Date,COST,JNJ,KO,PFE,PG,T,WMT
2020-03-06,287.11517333984375,125.42120361328125,47.684913635253906,27.517419815063477,108.80906677246094,19.711971282958984,36.334075927734375
2020-03-09,278.4834899902344,120.48489379882812,44.75099563598633,26.527359008789062,103.80059051513672,18.46633529663086,36.3123779296875
2020-03-10,285.3261413574219,125.07682800292969,46.30424499511719,27.17954444885254,107.8163070678711,19.08382797241211,37.12752151489258
2020-03-11,274.28753662109375,116.38748931884766,45.053016662597656,25.277996063232422,99.80274963378906,18.375839233398438,35.46626281738281
2020-03-12,258.0754089355469,110.74472045898438,40.69527053833008,23.588605880737305,91.08263397216797,16.67772674560547,32.24909591674805
2020-03-13,278.7508544921875,118.58634185791016,42.1925163269043,25.702308654785156,102.02080535888672,18.349224090576172,35.36397933959961
2020-03-16,261.146240234375,112.26358795166016,39.398250579833984,23.71432876586914,97.03915405273438,16.93324089050293,33.089027404785156
2020-03-17,283.1036071777344,120.61734771728516,41.06958770751953,25.270137786865234,105.75031280517578,17.96062660217285,36.9632568359375
2020-03-18,283.5739440917969,119.177978515625,39.041351318359375,25.42728614807129,105.04376983642578,17.486854553222656,37.992244720458984
2020-03-19,281.4714660644531,112.19296264648438,36.412479400634766,23.90291404724121,99.123046875,16.5819034576416,37.18594741821289
2020-03-20,267.8229064941406,105.8702392578125,33.339656829833984,22.794984817504883,91.6103286743164,15.14462947845459,35.479984283447266
2020-03-23,263.31341552734375,98.1434326171875,32.69549560546875,22.386384963989258,87.37995910644531,14.250325202941895,35.57648849487305
2020-03-24,262.7692565917969,105.24325561523438,34.34071731567383,23.3371639251709,92.36160278320312,14.952993392944336,35.80995559692383
2020-03-25,259.0067443847656,105.43753051757812,36.22097396850586,23.376445770263672,90.25981903076172,15.118013381958008,34.05729675292969
2020-03-26,269.5566101074219,111.76908111572266,38.553871154785156,24.947978973388672,96.03744506835938,16.28912353515625,34.18803405761719
2020-03-27,262.206787109375,108.75784301757812,37.26555633544922,24.28007698059082,98.53274536132812,15.884561538696289,34.11332321166992
2020-03-30,268.4684143066406,117.45599365234375,39.17192077636719,25.67087745666504,102.85256958007812,16.092166900634766,35.85978317260742
2020-03-31,262.94451904296875,115.79584503173828,38.5190544128418,25.647302627563477,98.38072204589844,15.517257690429688,35.37101745605469
2020-04-01,264.4660949707031,113.74713897705078,36.66492462158203,24.947978973388672,97.78150177001953,14.931697845458984,35.532894134521484
2020-04-02,268.8005065917969,117.5796127319336,38.257911682128906,25.82802963256836,102.31594848632812,15.309649467468262,36.93690872192383
2020-04-03,266.1905822753906,118.48036193847656,38.15345001220703,26.433067321777344,102.92410278320312,14.617630958557129,37.1953010559082
2020-04-06,281.3790588378906,123.41665649414062,40.62563705444336,27.1638240814209,105.3657455444336,15.671630859375,39.24683380126953
2020-04-07,280.00506591796875,121.40327453613281,40.48635482788086,26.409496307373047,100.85812377929688,16.01231575012207,37.9766845703125
2020-04-08,282.16302490234375,126.50736999511719,41.62669372558594,27.187400817871094,102.94200134277344,16.283889770507812,37.92998123168945
2020-04-09,276.6667785644531,124.7147445678711,42.65386962890625,27.808155059814453,102.5484848022461,16.741512298583984,37.91753387451172
2020-04-13,276.3070983886719,123.4255142211914,40.851966857910156,27.61171531677246,103.70220947265625,16.447324752807617,39.007110595703125
2020-04-14,289.69732666015625,128.9534454345703,42.584228515625,28.633207321166992,108.1830062866211,16.959434509277344,40.15896224975586
2020-04-15,286.12847900390625,130.39285278320312,41.44389343261719,28.263898849487305,108.41554260253906,16.39284324645996,40.08424758911133
2020-04-16,296.53997802734375,132.16778564453125,40.99993896484375,28.193178176879883,108.66597747802734,16.43098258972168,41.19563293457031
2020-04-17,293.1831970214844,134.24301147460938,41.83561706542969,29.002511978149414,111.51901245117188,17.0139102935791,41.1302604675293
2020-04-20,287.7975158691406,133.93392944335938,40.50376510620117,28.350324630737305,107.86103057861328,16.877710342407227,40.423583984375
2020-04-21,277.884033203125,132.1766357421875,39.50271224975586,27.98887825012207,107.0382080078125,16.272991180419922,40.22434616088867
2020-04-22,285.3446044921875,135.09954833984375,39.76385498046875,28.483911514282227,106.78779602050781,16.055070877075195,40.96526336669922
2020-04-23,281.6373291015625,137.3248748779297,39.232852935791016,28.829641342163086,107.49994659423828,16.0714168548584,40.01264953613281
2020-04-24,286.38665771484375,136.7509002685547,39.54623031616211,29.3718318939209,106.9417495727539,16.185823440551758,40.29594421386719
2020-04-27,284.75439453125,136.2475128173828,40.72138977050781,30.118288040161133,105.74430847167969,16.638002395629883,39.941043853759766
2020-04-28,281.2223205566406,133.68667602539062,40.68657302856445,29.788267135620117,105.2401123046875,16.69792938232422,39.84765625
2020-04-29,283.1959228515625,132.671142578125,41.01734924316406,29.953283309936523,105.41118621826172,17.122873306274414,38.47789001464844
2020-04-30,280.0625,132.4945526123047,39.9466552734375,30.14187240600586,106.12244415283203,16.599864959716797,37.8397102355957
2020-05-01,279.0643005371094,130.9491424560547,39.6942138671875,29.576126098632812,105.1771011352539,16.289335250854492,38.26620101928711
2020-05-04,281.43975830078125,130.93150329589844,39.293792724609375,29.56040382385254,104.23174285888672,16.125898361206055,38.5090217590332
2020-05-05,284.6100769042969,132.01766967773438,39.52012252807617,30.259733200073242,104.44783020019531,16.202163696289062,38.829681396484375
2020-05-06,285.506591796875,130.76376342773438,38.95429992675781,30.259733200073242,101.82785034179688,15.684613227844238,38.38449478149414
2020-05-07,281.91107177734375,130.33103942871094,38.82372283935547,29.33123016357422,100.99052429199219,15.739093780517578,38.112464904785156
2020-05-08,282.77996826171875,131.3112030029297,40.138160705566406,29.53755760192871,104.393798828125,16.229406356811523,38.44078063964844
2020-05-11,286.8375549316406,131.67324829101562,39.64198303222656,30.235929489135742,103.81758880615234,16.00604248046875,38.669036865234375
2020-05-12,281.76318359375,129.93365478515625,39.015228271484375,29.648662567138672,103.13333892822266,15.739093780517578,38.703433990478516
2020-05-13,279.2676086425781,129.92483520507812,38.249202728271484,29.402652740478516,102.56611633300781,15.303257942199707,38.68154525756836
2020-05-14,277.0492858886719,130.3751678466797,38.04029083251953,30.093082427978516,102.46707153320312,15.570209503173828,38.59086608886719
2020-05-15,276.55938720703125,132.84776306152344,37.65726852416992,29.96610450744629,103.18736267089844,15.423111915588379,39.378814697265625
2020-05-18,279.8406677246094,132.91842651367188,39.14580535888672,30.212120056152344,104.62789154052734,16.044179916381836,39.9166259765625
2020-05-19,281.56915283203125,131.5938262939453,38.77149963378906,29.902618408203125,101.233642578125,15.777230262756348,39.069271087646484
2020-05-20,281.827880859375,130.41049194335938,39.9466552734375,29.86293601989746,101.98990631103516,16.120450973510742,39.22560501098633
2020-05-21,279.1104736328125,129.55393981933594,39.31989288330078,29.56930923461914,100.49536895751953,16.2185115814209,39.08177185058594
2020-05-22,279.53558349609375,128.371337890625,39.19803237915039,29.759765625,101.37770080566406,16.278438568115234,38.875404357910156
2020-05-26,281.7261962890625,128.540283203125,40.120758056640625,29.751829147338867,100.86448669433594,16.790544509887695,38.72843933105469
2020-05-27,282.8446044921875,128.83372497558594,40.6778678894043,29.68834686279297,102.53910827636719,17.351686477661133,38.29694747924805
2020-05-28,286.1258544921875,130.68319702148438,40.99124526977539,30.29941177368164,104.49283599853516,16.921295166015625,38.6752815246582
2020-05-29,285.118408203125,132.26593017578125,40.634334564208984,30.307348251342773,104.36678314208984,16.81233787536621,38.79098129272461
2020-06-01,284.9520263671875,130.87881469726562,40.904197692871094,28.14084243774414,105.56424713134766,16.85047149658203,38.759708404541016
2020-06-02,283.8428955078125,131.8213348388672,40.82583999633789,28.69635009765625,106.29350280761719,16.883163452148438,38.75345993041992
2020-06-03,283.42694091796875,132.17701721191406,41.69633865356445,28.69635009765625,106.71666717529297,17.16645622253418,38.606502532958984
2020-06-04,287.22576904296875,130.46978759765625,41.713748931884766,28.577316284179688,104.48383331298828,17.324443817138672,38.18125915527344
2020-06-05,288.41815185546875,130.9766387939453,42.73222351074219,28.56144142150879,106.53660583496094,17.852893829345703,38.00928497314453
2020-06-08,283.935302734375,130.50538635253906,43.39377975463867,29.03759765625,107.1848373413086,18.103500366210938,37.90922927856445
2020-06-09,282.4193420410156,129.78512573242188,42.65386962890625,28.736038208007812,106.54560852050781,17.771175384521484,37.9436149597168
2020-06-10,284.06463623046875,131.42123413085938,42.32307434082031,28.505889892578125,107.34690856933594,17.50967025756836,37.88420867919922
2020-06-11,278.0567626953125,125.25918579101562,39.64198303222656,26.426677703857422,104.67292022705078,16.43642807006836,37.54964828491211
2020-06-12,276.0880126953125,126.3973388671875,40.05482864379883,26.783796310424805,104.0967025756836,16.6162109375,36.814842224121094
2020-06-15,274.6830749511719,125.59707641601562,40.669708251953125,26.474294662475586,105.06006622314453,16.6162109375,36.92116165161133
2020-06-16,278.54656982421875,128.45135498046875,41.082550048828125,26.50603485107422,106.35652923583984,16.768753051757812,37.41205978393555
2020-06-17,276.92913818359375,128.06007385253906,40.915653228759766,26.63300895690918,106.17646789550781,16.485458374023438,37.218204498291016
2020-06-18,276.8921203613281,127.5177001953125,41.27580261230469,26.379058837890625,107.39191436767578,16.53449249267578,36.893028259277344
2020-06-19,277.1971130371094,127.8911361694336,40.423763275146484,26.52190589904785,107.06779479980469,16.512699127197266,37.474605560302734
2020-06-22,277.70550537109375,127.49990844726562,40.17780303955078,26.275896072387695,106.01439666748047,16.40374183654785,38.04679870605469
2020-06-23,278.4819030761719,127.02865600585938,40.089962005615234,26.006071090698242,105.99639129638672,16.480009078979492,37.85607147216797
2020-06-24,275.4595031738281,124.3255615234375,39.22035598754883,25.545787811279297,104.81695556640625,16.027833938598633,37.61530685424805
2020-06-25,277.77947998046875,124.1921615600586,39.466304779052734,25.648954391479492,106.14044189453125,16.191274642944336,37.43083190917969
2020-06-26,274.10992431640625,122.53829193115234,38.27168655395508,25.42674446105957,103.74555206298828,15.842604637145996,36.99620056152344
2020-06-29,278.75921630859375,123.63197326660156,38.96562957763672,25.902904510498047,105.9333724975586,16.29477882385254,37.22758102416992
2020-06-30,280.25653076171875,125.04579162597656,39.246707916259766,25.950517654418945,107.65301513671875,16.469118118286133,37.45270919799805
2020-07-01,281.6800537109375,124.82349395751953,39.36968231201172,26.775859832763672,108.02214813232422,16.289335250854492,37.424564361572266
2020-07-02,282.5950012207031,125.34809112548828,39.42238235473633,27.386919021606445,108.83244323730469,16.38739585876465,37.27448654174805
2020-07-06,287.9097900390625,127.13533020019531,39.729820251464844,27.386919021606445,109.50769805908203,16.61076545715332,37.1744384765625
2020-07-07,292.29095458984375,127.0197982788086,39.71225357055664,27.005998611450195,110.03890228271484,16.51814842224121,39.69462203979492
2020-07-08,292.3741149902344,127.39324951171875,39.58927917480469,26.783796310424805,110.64212036132812,16.594419479370117,38.9098014831543
2020-07-09,300.8961486816406,126.69966888427734,38.570343017578125,26.55364990234375,110.2729721069336,16.46537208557129,39.944766998291016
2020-07-10,301.5339660644531,126.59297943115234,39.65955352783203,26.847280502319336,111.5424575805664,16.794231414794922,40.86091995239258
2020-07-13,298.4745788574219,129.11825561523438,39.74738693237305,27.942440032958984,111.68650817871094,16.587997436523438,40.49821090698242
2020-07-14,303.169921875,131.52793884277344,40.291996002197266,27.95830726623535,112.62286376953125,16.69947624206543,41.27677536010742
2020-07-15,301.9683837890625,131.83026123046875,40.75754928588867,28.3471736907959,112.0916519165039,16.727346420288086,41.273658752441406
2020-07-16,301.5709228515625,132.71055603027344,40.53794860839844,28.251943588256836,112.32575225830078,16.939159393310547,41.3361930847168
2020-07-17,300.2029113769531,132.79945373535156,41.126468658447266,28.767778396606445,113.10903930664062,16.861120223999023,41.192352294921875
2020-07-20,301.792724609375,133.0217742919922,40.5115966796875,28.966175079345703,112.7579116821289,16.638164520263672,41.107933044433594
2020-07-21,302.9295959472656,133.146240234375,41.46025848388672,29.116960525512695,112.6048583984375,16.861120223999023,41.37683868408203
2020-07-22,303.44720458984375,133.38632202148438,42.5846061706543,30.60097312927246,113.56819915771484,16.81095314025879,41.48001480102539
2020-07-23,301.4229736328125,133.03067016601562,42.408931732177734,30.48194122314453,114.30298614501953,16.666032791137695,41.16108703613281
2020-07-24,301.1180114746094,131.70574951171875,42.59339904785156,29.886741638183594,114.12178039550781,16.482093811035156,41.0360221862793
