Date,JPM,KO,PEP,PG,UPS,V,WMT
2022-03-08,119.39176177978516,54.00149154663086,147.0215301513672,137.83642578125,184.20236206054688,188.00123596191406,44.41391372680664
2022-03-09,124.17487335205078,54.27766418457031,146.5838165283203,139.69564819335938,187.25413513183594,195.8955078125,44.644405364990234
2022-03-10,122.70457458496094,53.2834358215332,143.8924102783203,136.0993194580078,187.61636352539062,194.14010620117188,45.659202575683594
2022-03-11,119.94080352783203,53.320247650146484,143.16603088378906,134.48422241210938,184.6460723876953,192.9044952392578,45.47993469238281
2022-03-14,121.13191223144531,54.30354690551758,145.17759704589844,136.20257568359375,185.0083465576172,196.4544677734375,46.113773345947266
2022-03-15,123.28150939941406,55.30538558959961,148.07388305664062,141.1041717529297,190.65003967285156,202.15206909179688,46.66758346557617
2022-03-16,128.7904815673828,55.156959533691406,148.7257537841797,140.62530517578125,197.32408142089844,207.7711944580078,46.52993392944336
2022-03-17,130.41896057128906,55.74137496948242,149.8805694580078,141.06661987304688,201.3267364501953,209.3206329345703,46.60063552856445
2022-03-18,130.3724365234375,55.75064468383789,151.6034393310547,140.99148559570312,199.02659606933594,214.87115478515625,46.73881530761719
2022-03-21,129.95370483398438,56.19591522216797,151.38926696777344,141.5267333984375,197.92178344726562,212.84117126464844,46.349971771240234
2022-03-22,132.71746826171875,56.39999008178711,153.04693603515625,142.61595153808594,197.7949981689453,214.2435302734375,46.211788177490234
2022-03-23,130.07467651367188,56.028934478759766,152.24600219726562,141.6206512451172,194.317626953125,210.52685546875,45.61727523803711
2022-03-24,130.92147827148438,56.56696319580078,153.1680145263672,141.86476135253906,194.3900604248047,213.10595703125,45.90007019042969
2022-03-25,132.06610107421875,57.07715606689453,153.88510131835938,143.508056640625,195.01487731933594,214.20431518554688,46.09931182861328
2022-03-28,131.08900451660156,57.43893814086914,154.34141540527344,144.49398803710938,198.8183135986328,216.49903869628906,46.91878128051758
2022-03-29,131.37747192382812,57.66156768798828,156.6323699951172,145.9776153564453,201.44444274902344,223.70681762695312,47.31405258178711
2022-03-30,130.7819061279297,57.707950592041016,156.4181671142578,144.97288513183594,199.4069366455078,219.6175079345703,48.162452697753906
2022-03-31,126.85492706298828,57.513145446777344,155.87803649902344,143.47987365722656,194.20892333984375,217.47970581054688,47.857154846191406
2022-04-01,125.9150161743164,58.320186614990234,158.09446716308594,145.6301727294922,187.12738037109375,221.9808807373047,48.52880096435547
2022-04-04,126.47339630126953,58.014076232910156,157.68470764160156,144.68177795410156,185.8323974609375,223.334228515625,48.538448333740234
2022-04-05,125.00154876708984,57.949134826660156,157.85232543945312,145.18887329101562,178.5878448486328,221.7161102294922,48.67662811279297
2022-04-06,123.26725769042969,58.53354263305664,160.54376220703125,147.26405334472656,176.03408813476562,214.77308654785156,49.80782699584961
2022-04-07,122.89225769042969,58.848941802978516,160.6927490234375,149.17022705078125,174.5037078857422,211.96841430664062,50.305931091308594
2022-04-08,125.14217376708984,59.21072006225586,161.23289489746094,150.33460998535156,172.93707275390625,212.7823486328125,50.585514068603516
2022-04-11,124.68283081054688,59.192161560058594,160.73931884765625,149.76181030273438,172.81930541992188,210.5955047607422,49.58287048339844
2022-04-12,123.31411743164062,59.887882232666016,161.39122009277344,149.3110809326172,170.14788818359375,207.310302734375,49.242225646972656
2022-04-13,119.33927154541016,60.04557800292969,161.11183166503906,149.733642578125,171.0353546142578,209.14414978027344,50.52445602416992
2022-04-14,118.23306274414062,60.31459426879883,160.08740234375,148.89791870117188,170.265625,208.6734161376953,50.479461669921875
2022-04-18,120.4267349243164,59.77656555175781,158.7091064453125,147.47999572753906,169.48683166503906,209.0460662841797,50.09382629394531
2022-04-19,122.9203872680664,60.360984802246094,161.01870727539062,149.68670654296875,172.68350219726562,211.5271453857422,50.66264724731445
2022-04-20,123.35161590576172,61.18656921386719,163.412109375,153.66806030273438,172.4480438232422,213.57667541503906,51.2989387512207
2022-04-21,122.3954086303711,61.41847610473633,162.825439453125,153.5481414794922,170.97195434570312,212.26260375976562,51.37606430053711
2022-04-22,118.87992858886719,60.527950286865234,160.3202362060547,152.263916015625,169.47776794433594,204.14280700683594,50.40876388549805
2022-04-25,118.8424072265625,61.168025970458984,161.80099487304688,153.4915008544922,171.73263549804688,205.88836669921875,50.434478759765625
2022-04-26,115.3269271850586,60.34242630004883,161.39122009277344,150.88531494140625,165.7649383544922,197.2095489501953,49.907440185546875
2022-04-27,113.82698059082031,60.81551742553711,162.83470153808594,150.479248046875,168.798583984375,209.96786499023438,49.56679916381836
2022-04-28,115.62691497802734,61.399932861328125,165.30262756347656,154.30355834960938,172.2035369873047,216.39117431640625,50.199886322021484
2022-04-29,111.89579772949219,59.934268951416016,159.91050720214844,151.6029510498047,162.98483276367188,209.0068359375,49.165096282958984
2022-05-02,112.91764068603516,58.848941802978516,156.23191833496094,149.5538787841797,161.7169952392578,207.4378204345703,48.84052276611328
2022-05-03,115.3363037109375,58.51499557495117,156.44610595703125,147.50482177734375,161.3004913330078,204.52525329589844,49.01084518432617
2022-05-04,119.15178680419922,60.3238639831543,161.91275024414062,148.5906982421875,166.444091796875,210.3699493408203,49.68891906738281
2022-05-05,116.17063903808594,59.84151077270508,158.68116760253906,145.85231018066406,162.81275939941406,201.2694854736328,49.263187408447266
2022-05-06,115.98314666748047,60.05485534667969,158.69981384277344,147.30650329589844,162.93048095703125,198.8963165283203,48.23753356933594
2022-05-09,114.23947143554688,59.934268951416016,159.90113830566406,146.93824768066406,164.2978973388672,189.2662811279297,48.801963806152344
2022-05-10,111.45519256591797,59.377685546875,159.70559692382812,146.16390991210938,164.82313537597656,189.83506774902344,48.11497497558594
2022-05-11,110.75209045410156,59.65597152709961,158.93263244628906,144.10540771484375,160.70278930664062,192.91429138183594,47.6118278503418
2022-05-12,110.65834045410156,59.84151077270508,158.69049072265625,143.5199737548828,161.78041076660156,190.580810546875,47.566673278808594
2022-05-13,111.64268493652344,60.96393966674805,161.7823944091797,145.05911254882812,162.61154174804688,195.74887084960938,47.750511169433594
2022-05-16,110.86460876464844,61.18656921386719,163.412109375,146.47552490234375,164.19163513183594,194.35372924804688,47.802120208740234
2022-05-17,114.53945922851562,61.01960372924805,162.4715118408203,146.06005859375,167.2695770263672,200.43553161621094,42.36426544189453
2022-05-18,112.58013916015625,56.77104187011719,152.40435791015625,136.95726013183594,157.30502319335938,196.4956512451172,39.487308502197266
2022-05-19,110.91145324707031,55.65788650512695,150.12269592285156,133.8034210205078,152.88446044921875,193.92138671875,38.40359878540039
2022-05-20,110.00212097167969,56.56696319580078,151.0633087158203,133.8883819580078,156.21815490722656,195.5523681640625,38.445533752441406
2022-05-23,116.80811309814453,58.310909271240234,154.22036743164062,136.9667205810547,159.27784729003906,203.93338012695312,39.54213333129883
2022-05-24,118.45805358886719,59.386959075927734,156.2877960205078,139.40296936035156,159.02210998535156,199.08949279785156,40.03560256958008
2022-05-25,119.28302764892578,59.433345794677734,157.35874938964844,137.11781311035156,158.7937774658203,200.27835083007812,39.79048538208008
2022-05-26,121.34544372558594,59.64670181274414,158.42041015625,138.31703186035156,162.92208862304688,204.9060516357422,40.638736724853516
2022-05-27,123.06100463867188,59.99920654296875,159.9663543701172,140.4322052001953,166.71246337890625,209.16041564941406,41.43861389160156
2022-05-31,123.96096801757812,58.79328536987305,156.22259521484375,139.63900756835938,166.4567108154297,208.46279907226562,41.486995697021484
2022-06-01,121.78605651855469,58.50571060180664,155.0491943359375,137.52381896972656,164.6117706298828,206.26194763183594,40.46134567260742
2022-06-02,123.74534606933594,59.11795425415039,156.3057861328125,139.00634765625,168.11900329589844,211.29249572753906,41.12575149536133
2022-06-03,122.02043151855469,58.4129524230957,154.58970642089844,137.7598876953125,169.4159393310547,208.93441772460938,40.41941452026367
2022-06-06,121.61729431152344,58.320186614990234,155.2367401123047,137.22169494628906,170.89556884765625,209.21934509277344,40.27427673339844
2022-06-07,121.9360580444336,58.67268753051758,156.19325256347656,138.7513885498047,169.43421936035156,210.75209045410156,39.79048538208008
2022-06-08,119.99549102783203,58.33873748779297,155.41490173339844,137.0233612060547,163.89024353027344,209.76959228515625,39.44537353515625
2022-06-09,117.47371673583984,57.32762145996094,152.64854431152344,134.54940795898438,161.2506561279297,202.50869750976562,39.03254318237305
2022-06-10,112.07392120361328,56.96585464477539,152.4047088623047,134.03945922851562,158.05397033691406,196.0240020751953,39.25185775756836
2022-06-13,108.73653411865234,56.90091323852539,149.79774475097656,130.4512176513672,157.75257873535156,188.90069580078125,38.513267517089844
2022-06-14,106.92724609375,55.340572357177734,146.4030303955078,126.38141632080078,159.06781005859375,190.138671875,38.529396057128906
2022-06-15,108.19281768798828,55.75167465209961,147.96910095214844,125.12551879882812,160.63873291015625,192.73252868652344,38.50358963012695
2022-06-16,106.33663177490234,55.19108200073242,147.2563934326172,125.89041137695312,157.26849365234375,185.74676513671875,38.90353012084961
2022-06-17,105.96165466308594,55.52743911743164,147.28453063964844,124.98390197753906,156.24557495117188,186.69000244140625,38.15202713012695
2022-06-21,108.5865478515625,56.714046478271484,150.70738220214844,128.77041625976562,159.37831115722656,190.9934539794922,39.40345001220703
2022-06-22,107.9771957397461,57.134490966796875,151.94522094726562,130.78170776367188,160.8853302001953,190.43344116210938,38.92610549926758
2022-06-23,106.79598999023438,57.816558837890625,153.88636779785156,134.36996459960938,163.15042114257812,193.20416259765625,39.87112045288086
2022-06-24,109.98336791992188,58.900390625,155.7900390625,136.3057403564453,167.4157257080078,201.91915893554688,39.90337371826172
2022-06-27,109.10215759277344,58.7789192199707,155.996337890625,135.2670135498047,166.0548553466797,200.0032196044922,40.032379150390625
2022-06-28,108.57717895507812,58.19028854370117,153.8019561767578,133.06687927246094,164.32862854003906,194.6583251953125,39.46795654296875
2022-06-29,108.08969116210938,58.61074447631836,156.3526611328125,134.27552795410156,165.43377685546875,196.01417541503906,39.322818756103516
2022-06-30,105.56791687011719,58.7789192199707,156.28704833984375,135.7769317626953,166.72158813476562,193.44976806640625,39.21316146850586
2022-07-01,106.9178695678711,60.15239334106445,158.84710693359375,137.9676513671875,168.95928955078125,195.6997528076172,39.55181121826172
2022-07-05,106.51119232177734,59.12462615966797,158.4907684326172,136.63619995117188,168.6304931640625,197.03598022460938,40.07430648803711
2022-07-06,105.82078552246094,59.2460823059082,160.0755615234375,137.91099548339844,169.12367248535156,197.6058807373047,40.358131408691406
2022-07-07,108.49727630615234,58.7789192199707,159.7567138671875,137.86376953125,170.0552978515625,199.25650024414062,40.41941452026367
2022-07-08,108.15680694580078,58.99381637573242,161.18214416503906,136.93841552734375,169.33377075195312,200.01307678222656,40.445220947265625
2022-07-11,106.73816680908203,58.80695343017578,159.8599090576172,137.9015350341797,168.63961791992188,201.4770050048828,40.46134567260742
2022-07-12,106.84220123291016,58.5546760559082,158.95025634765625,136.68344116210938,163.8262939453125,201.24124145507812,40.338783264160156
2022-07-13,105.8396987915039,58.283721923828125,159.51290893554688,137.58047485351562,162.50196838378906,200.5829315185547,40.435546875
2022-07-14,102.14178466796875,58.09685516357422,160.33815002441406,137.17446899414062,162.83071899414062,202.3121795654297,41.225746154785156
2022-07-15,106.8232650756836,58.395843505859375,160.46942138671875,136.98561096191406,166.76727294921875,206.3699951171875,41.628902435302734
2022-07-18,105.72621154785156,57.60165786743164,157.78746032714844,135.32366943359375,164.47476196289062,203.58946228027344,41.53214645385742
2022-07-19,108.34596252441406,58.42387390136719,159.4754180908203,136.01300048828125,169.70822143554688,209.9267578125,41.78694534301758
2022-07-20,108.32704162597656,57.46150588989258,157.78746032714844,133.66175842285156,170.65811157226562,209.64183044433594,42.135276794433594
2022-07-21,109.06472778320312,57.33070373535156,158.02186584472656,133.7881622314453,170.8042449951172,212.41256713867188,42.75130844116211
2022-07-22,108.53511047363281,57.54560089111328,159.05340576171875,135.92657470703125,171.69017028808594,209.96604919433594,42.64164733886719
2022-07-25,108.97015380859375,58.106197357177734,159.27850341796875,136.84848022460938,171.62623596191406,210.526123046875,42.58036804199219
2022-07-26,107.26779174804688,59.05921936035156,161.13525390625,137.1145782470703,165.79910278320312,208.7772216796875,39.3421630859375
2022-07-27,108.98906707763672,58.872352600097656,160.9102020263672,138.41661071777344,167.96371459960938,206.79251098632812,40.82902908325195
2022-07-28,108.5823974609375,59.8534049987793,163.9579315185547,140.71658325195312,171.9276580810547,207.6571502685547,41.84822463989258
2022-07-29,109.10255432128906,59.956180572509766,164.07044982910156,132.0204315185547,178.0013885498047,208.4038543701172,42.59004211425781
2022-08-01,108.01493835449219,60.28319549560547,165.9365692138672,135.81251525878906,178.41236877441406,207.66697692871094,42.748077392578125
2022-08-02,106.33148956298828,59.46098327636719,164.5674591064453,134.9096221923828,176.7592315673828,202.6560821533203,42.793235778808594
2022-08-03,107.4474868774414,59.72259521484375,165.82403564453125,137.6943359375,176.65879821777344,204.83726501464844,42.09011459350586
2022-08-04,106.26528930664062,59.489013671875,164.9237823486328,137.4757080078125,177.6634521484375,209.7400665283203,40.50004959106445
2022-08-05,109.48087310791016,59.21805953979492,163.68597412109375,137.54225158691406,179.70932006835938,212.09814453125,40.8258056640625
2022-08-08,108.14734649658203,58.83498001098633,163.02952575683594,138.0649871826172,179.0973663330078,209.59271240234375,41.15800476074219
2022-08-09,109.12147521972656,58.909732818603516,163.63905334472656,137.7418212890625,179.60882568359375,206.58616638183594,41.56439971923828
2022-08-10,111.96820831298828,59.47032928466797,164.98944091796875,139.0438995361328,184.83319091796875,208.39404296875,41.6514778137207
2022-08-11,113.62327575683594,59.06856918334961,164.14544677734375,138.05548095703125,186.7146453857422,207.75918579101562,42.05316162109375
