Date,BAC,CVX,GOOGL,MSFT,SLB,TSLA,XOM
2021-03-09,33.28125762939453,94.908935546875,101.76600646972656,226.94979858398438,27.500076293945312,224.52667236328125,52.065765380859375
2021-03-10,34.243404388427734,96.52975463867188,101.55802917480469,225.6295166015625,28.062257766723633,222.68666076660156,53.664310455322266
2021-03-11,34.124290466308594,96.37374877929688,104.767578125,230.20191955566406,27.54692268371582,233.1999969482422,53.26467514038086
2021-03-12,34.76572799682617,96.6944351196289,102.24681854248047,228.8622283935547,27.181503295898438,231.2433319091797,53.838069915771484
2021-03-15,34.591617584228516,95.5589828491211,102.46827697753906,227.94967651367188,27.28457260131836,235.97999572753906,52.465396881103516
2021-03-16,34.49082565307617,93.29676818847656,103.93714141845703,230.76498413085938,26.291383743286133,225.6266632080078,51.353370666503906
2021-03-17,34.77488708496094,93.63481903076172,103.85383605957031,230.11456298828125,26.52562713623047,233.93666076660156,51.57925033569336
2021-03-18,35.682064056396484,90.24583435058594,100.8173599243164,223.9792022705078,25.532438278198242,217.72000122070312,49.355194091796875
2021-03-19,35.30635452270508,89.60443115234375,101.09766387939453,223.62001037597656,25.345043182373047,218.2899932861328,49.07718276977539
2021-03-22,34.50914001464844,88.87638092041016,101.28370666503906,229.09523010253906,25.907228469848633,223.3333282470703,48.573280334472656
2021-03-23,33.812744140625,88.38233184814453,101.81439208984375,230.63877868652344,24.98899269104004,220.72000122070312,47.97382736206055
2021-03-24,33.812744140625,90.74853515625,101.37548065185547,228.58071899414062,25.69172477722168,210.08999633789062,48.946868896484375
2021-03-25,34.50914001464844,91.06922912597656,101.37199401855469,225.55186462402344,25.67298126220703,213.4633331298828,48.807857513427734
2021-03-26,35.443809509277344,93.15811157226562,100.9864501953125,229.57090759277344,26.52562713623047,206.23666381835938,50.1370849609375
2021-03-29,35.10477066040039,92.67272186279297,102.0368423461914,228.36715698242188,25.95407485961914,203.76333618164062,49.867767333984375
2021-03-30,35.72787857055664,91.81465148925781,102.07075500488281,225.076171875,25.50432777404785,211.8733367919922,49.25093078613281
2021-03-31,35.45297622680664,90.82654571533203,102.87126922607422,228.88165283203125,25.476221084594727,222.64332580566406,48.503787994384766
2021-04-01,36.186038970947266,91.65863037109375,106.22595977783203,235.26943969726562,26.32886505126953,220.5833282470703,49.85907745361328
2021-04-05,36.47010803222656,90.5838623046875,110.6739501953125,241.79310607910156,25.813528060913086,230.35000610351562,49.08586502075195
2021-04-06,36.369300842285156,89.77778625488281,110.19014739990234,240.61842346191406,25.710460662841797,230.5399932861328,48.946868896484375
2021-04-07,36.699195861816406,90.30650329589844,111.67498016357422,242.59881591796875,25.626134872436523,223.6566619873047,49.16405487060547
2021-04-08,36.37846374511719,89.29239654541016,112.24356842041016,245.85093688964844,25.354415893554688,227.93333435058594,48.65147399902344
2021-04-09,36.64420700073242,89.20571899414062,113.25306701660156,248.375,25.073320388793945,225.67333984375,48.538536071777344
2021-04-12,36.708351135253906,88.21763610839844,111.95378875732422,248.43325805664062,24.867191314697266,233.9933319091797,48.21708297729492
2021-04-13,36.0302619934082,88.61634063720703,112.44306945800781,250.9378662109375,24.398706436157227,254.10667419433594,48.399532318115234
2021-04-14,36.54341506958008,90.37584686279297,111.81861877441406,248.12258911132812,25.588655471801758,244.07666015625,49.79825973510742
2021-04-15,35.49879455566406,89.63911437988281,113.98026275634766,251.91836547851562,24.979625701904297,246.28334045410156,49.50286865234375
2021-04-16,35.874488830566406,89.24041748046875,113.85557556152344,253.12213134765625,24.632944107055664,246.5933380126953,49.22486877441406
2021-04-19,35.89280700683594,89.50043487548828,114.20520782470703,251.18055725097656,24.85782241821289,238.2100067138672,49.06848907470703
2021-04-20,34.894004821777344,87.82762145996094,113.66903686523438,250.71456909179688,23.658498764038086,239.663330078125,48.034645080566406
2021-04-21,35.4804573059082,89.04105377197266,113.63612365722656,252.96678161621094,24.108243942260742,248.0399932861328,48.65147399902344
2021-04-22,35.15058517456055,87.49822998046875,112.3478012084961,249.65643310546875,23.658498764038086,239.89666748046875,48.01726531982422
2021-04-23,35.9019775390625,88.01829528808594,114.71245574951172,253.52017211914062,24.089500427246094,243.13333129882812,48.27790069580078
