Date,BA,BTC-USD,ETH-USD,LTC-USD,NVDA,TSLA,XRP-USD
2023-03-08,207.1999969482422,21718.080078125,1534.0882568359375,82.78353118896484,24.1691951751709,182.0,0.3891879916191101
2023-03-09,201.24000549316406,20363.021484375,1438.6607666015625,76.73104858398438,23.424558639526367,172.9199981689453,0.37213000655174255
2023-03-10,203.07000732421875,20187.244140625,1429.1580810546875,71.76221466064453,22.953786849975586,173.44000244140625,0.37062200903892517
2023-03-13,203.3699951171875,24197.533203125,1680.3089599609375,81.7682876586914,22.954784393310547,174.47999572753906,0.37378600239753723
2023-03-14,207.27999877929688,24746.07421875,1703.507080078125,84.35054016113281,24.051250457763672,183.25999450683594,0.3742789924144745
2023-03-15,198.2100067138672,24375.9609375,1656.1805419921875,76.42815399169922,24.216171264648438,180.4499969482422,0.36055800318717957
2023-03-16,203.19000244140625,25052.7890625,1677.2154541015625,79.05355072021484,25.528532028198242,184.1300048828125,0.36602500081062317
2023-03-17,201.0500030517578,27423.9296875,1792.485107421875,85.5023193359375,25.712438583374023,180.1300048828125,0.3803820013999939
2023-03-20,204.77000427246094,27767.236328125,1735.3212890625,78.42455291748047,25.887353897094727,183.25,0.3746280074119568
2023-03-21,204.6999969482422,28175.81640625,1806.7607421875,82.7353515625,26.186208724975586,197.5800018310547,0.46970999240875244
2023-03-22,196.16000366210938,27307.4375,1737.717041015625,87.35688781738281,26.455078125,191.14999389648438,0.4224799871444702
2023-03-23,197.89999389648438,28333.97265625,1816.4051513671875,93.70100402832031,27.177724838256836,192.22000122070312,0.44484999775886536
2023-03-24,197.52999877929688,27493.28515625,1752.0447998046875,93.70990753173828,26.765926361083984,190.41000366210938,0.42590200901031494
2023-03-27,200.57000732421875,27139.888671875,1715.4608154296875,89.24687194824219,26.51804542541504,191.80999755859375,0.47999098896980286
2023-03-28,204.9600067138672,27268.130859375,1772.78564453125,89.13937377929688,26.39710807800293,189.19000244140625,0.5150579810142517
2023-03-29,207.97000122070312,28348.44140625,1793.0018310546875,91.34173583984375,26.9708251953125,193.8800048828125,0.5435770153999329
2023-03-30,211.0399932861328,28033.5625,1792.7371826171875,89.05989074707031,27.36962890625,195.27999877929688,0.5342490077018738
2023-03-31,212.42999267578125,28478.484375,1822.0220947265625,89.68412780761719,27.763437271118164,207.4600067138672,0.5384920239448547
2023-04-03,215.38999938964844,27790.220703125,1810.297119140625,93.03733825683594,27.951343536376953,194.77000427246094,0.49696001410484314
