assets,AAPL,MSFT,GOOGL,AMZN,TSLA,JPM,BAC,V,PG,KO,WMT,PEP,CVX,XOM,SLB,BA,UPS,CAT,MMM,JNJ,PFE,MRNA,DIS,NFLX,T,NVDA,ORCL,INTC,LMT,GS,COST,BTC-USD,ETH-USD,LTC-USD,XRP-USD
PFE,-0.000847929,-0.063181845,-0.032377321,-0.093987332,-0.113932211,-0.02120505,-0.042253931,0.006692856,0.167754268,0.049240985,0.149078881,0.141917207,0.034448352,0.012357096,-0.04983891,-0.064247817,-0.008595025,0.021538421,0.063974333,0.27492837,1,0.118874343,-0.10095454,-0.119422933,0.13200085,-0.068327627,0.105423626,-0.059555286,-0.003258386,-0.021094153,0.059063298,-0.046913185,-0.022413515,0.01614631,-0.033242274
MRNA,0.134429047,0.100623101,0.066841798,0.03053848,0.176270578,-0.149670979,-0.090136802,-0.133509116,-0.076652384,-0.159169222,0.089793478,-0.0831859,-0.192384022,-0.158021565,-0.124961219,-0.096039933,0.04524003,-0.134693906,-0.084230436,-0.031830924,0.118874343,1,-0.140880608,0.076324706,-0.128743431,0.152432996,-0.087947204,0.091412006,-0.075325425,-0.04742671,0.097940321,0.066083018,0.068745103,0.052323721,-0.007328241
DIS,0.111744248,0.189844498,0.25027279,0.16563307,0.138413866,0.42639573,0.426582114,0.495900646,0.161622246,0.295386126,0.128624924,0.169527113,0.347111392,0.351242623,0.385717763,0.439568465,0.118201599,0.434210383,0.172219874,0.107982119,-0.10095454,-0.140880608,1,0.153496413,0.294801672,0.153468152,0.141229437,0.259992372,0.220535993,0.428448176,0.043678024,0.226785678,0.155834966,0.092378975,0.07883026
NFLX,0.392908333,0.460786834,0.464515599,0.447233296,0.260276585,-0.039567018,-0.049928586,0.252312471,0.059721844,0.088482818,0.172085134,0.170188565,-0.012232718,-0.033226575,-0.071237286,0.10173629,0.172013319,-0.081035725,-0.105456879,0.061664761,-0.119422933,0.076324706,0.153496413,1,-0.021955952,0.381763638,0.071986978,0.258049639,0.000844463,0.000249205,0.3491502,0.119094606,0.071901779,0.069059788,0.112227669
T,-0.047590305,-0.05746187,0.084999452,-0.050591435,-0.025390352,0.386160035,0.40890325,0.235526544,0.301428798,0.314098242,0.1712853,0.265096814,0.381202392,0.335336262,0.307467188,0.260446298,0.186941656,0.390906695,0.342500933,0.274339083,0.13200085,-0.128743431,0.294801672,-0.021955952,1,-0.15866674,0.113712963,0.144252915,0.221732019,0.329332665,0.085658992,0.077851995,0.146326507,0.122347527,0.025099843
NVDA,0.533979267,0.592825394,0.509113286,0.561648894,0.444898458,0.07462164,0.044315609,0.243111153,0.002072643,0.048595303,0.15178115,0.122924275,0.097197705,0.102482637,0.101439176,0.231614022,0.203551196,0.102926132,-0.093662107,-0.012927836,-0.068327627,0.152432996,0.153468152,0.381763638,-0.15866674,1,0.043815223,0.388169205,-0.07802438,0.158513447,0.378199657,0.233900186,0.159367271,0.15875882,0.208128001
ORCL,0.216603266,0.238001573,0.128987213,0.05323862,-0.005507826,0.222563699,0.186857442,0.263890288,0.284868379,0.385645569,0.227491597,0.290521299,0.220625131,0.186435902,0.157749286,0.051648352,0.255241362,0.188546146,0.348294318,0.230220359,0.105423626,-0.087947204,0.141229437,0.071986978,0.113712963,0.043815223,1,0.106942329,0.272665983,0.181966145,0.366216265,0.023948356,0.038771942,0.010250161,0.062726967
INTC,0.336532499,0.37322564,0.39223795,0.365236977,0.313609017,0.279977691,0.246993743,0.286932277,0.084100457,0.201218763,0.101067053,0.15771935,0.250198143,0.24767756,0.229314431,0.330490324,0.144003709,0.310642778,0.148655599,0.087057898,-0.059555286,0.091412006,0.259992372,0.258049639,0.144252915,0.388169205,0.106942329,1,0.153914471,0.243878224,0.254445268,0.174664522,0.092435554,0.086420674,0.091607127
LMT,0.100052115,0.036109121,0.025853794,-0.025637109,-0.009407313,0.246449595,0.241865808,0.242815419,0.185258487,0.248191945,0.234614862,0.171529606,0.233053393,0.144752501,0.190807578,0.238457589,0.031005739,0.281887885,0.37249343,0.146211518,-0.003258386,-0.075325425,0.220535993,0.000844463,0.221732019,-0.07802438,0.272665983,0.153914471,1,0.219541399,0.206488329,0.014131686,0.019040265,-0.017010551,0.009870249
GS,0.109705071,0.037631204,0.188433536,0.048783049,0.092480469,0.812074813,0.785264515,0.295711536,0.104272889,0.17538548,0.228583361,0.024192393,0.576072767,0.570173926,0.58454102,0.509596198,0.261409571,0.661627466,0.307397989,0.146765715,-0.021094153,-0.04742671,0.428448176,0.000249205,0.329332665,0.158513447,0.181966145,0.243878224,0.219541399,1,0.095813511,0.2294861,0.172545558,0.149068753,0.109032932
COST,0.468641687,0.535729136,0.379502746,0.359628292,0.289274804,0.0801031,0.037426806,0.200098132,0.342285955,0.406760234,0.522827925,0.467562405,0.077785011,0.056721476,0.002148854,0.137745607,0.274671473,0.067126268,0.197234381,0.235591788,0.059063298,0.097940321,0.043678024,0.3491502,0.085658992,0.378199657,0.366216265,0.254445268,0.206488329,0.095813511,1,0.183633975,0.1270249,0.149004016,0.096232913
BTC.USD,0.113546322,0.212152957,0.203498655,0.095971948,0.217588423,0.196211792,0.172062981,0.08769705,0.063044573,0.089509738,0.11354127,0.085383326,0.166309572,0.166558852,0.157285958,0.219657528,-0.084283109,0.196123645,-0.024280191,0.072623241,-0.046913185,0.066083018,0.226785678,0.119094606,0.077851995,0.233900186,0.023948356,0.174664522,0.014131686,0.2294861,0.183633975,1,0.740857507,0.799372308,0.554086105
ETH.USD,0.10997828,0.175387638,0.203627803,0.092052094,0.173326579,0.12119298,0.100554856,0.065014644,0.101651267,0.131442839,0.093498211,0.114653856,0.15994437,0.147761627,0.148381602,0.168891067,0.015467857,0.137528454,0.088274932,0.139375692,-0.022413515,0.068745103,0.155834966,0.071901779,0.146326507,0.159367271,0.038771942,0.092435554,0.019040265,0.172545558,0.1270249,0.740857507,1,0.806242309,0.563340196
LTC.USD,0.043420059,0.142724086,0.154466153,0.07889718,0.150410056,0.122213748,0.108261796,0.016070856,0.090593568,0.085564677,0.164744027,0.114887538,0.148676149,0.133953631,0.097766831,0.181255674,0.008428862,0.148151858,0.031943269,0.092062038,0.01614631,0.052323721,0.092378975,0.069059788,0.122347527,0.15875882,0.010250161,0.086420674,-0.017010551,0.149068753,0.149004016,0.799372308,0.806242309,1,0.647950564
XRP.USD,0.146653918,0.202742861,0.203824471,0.159935407,0.238678548,0.08286893,0.081955009,0.083830845,0.025258039,0.021911006,0.124273857,0.070935377,0.02017463,0.030791138,0.09965887,0.125007827,0.013654499,0.103247086,-0.033042185,-0.011308086,-0.033242274,-0.007328241,0.07883026,0.112227669,0.025099843,0.208128001,0.062726967,0.091607127,0.009870249,0.109032932,0.096232913,0.554086105,0.563340196,0.647950564,1
