Date,CAT,CVX,KO,SLB,XOM
2022-03-29,210.0529022216797,149.3516387939453,57.66157150268555,40.577579498291016,75.52108001708984
2022-03-30,211.9915008544922,150.4059295654297,57.70794677734375,40.17780303955078,76.81382751464844
2022-03-31,211.7444610595703,147.9973602294922,57.51314926147461,39.321136474609375,75.72276306152344
2022-04-01,208.8460693359375,149.2607421875,58.32018280029297,39.682838439941406,76.20870208740234
2022-04-04,209.83438110351562,149.39706420898438,58.01407241821289,39.54957962036133,76.2453842163086
2022-04-05,205.28245544433594,148.4790496826172,57.94913101196289,38.512054443359375,75.85114288330078
2022-04-06,205.46298217773438,149.7969970703125,58.533538818359375,38.816650390625,76.69464111328125
2022-04-07,205.16839599609375,151.87838745117188,58.84893035888672,38.99750900268555,77.97823333740234
2022-04-08,206.24224853515625,154.45059204101562,59.21072006225586,40.50143051147461,79.61939239501953
2022-04-11,205.31097412109375,150.47866821289062,59.19215774536133,39.340171813964844,76.87799835205078
2022-04-12,205.92864990234375,153.61441040039062,59.88787841796875,39.53054428100586,78.48249816894531
2022-04-13,207.42062377929688,156.03211975097656,60.04558563232422,40.52047348022461,79.59188079833984
2022-04-14,216.4864044189453,155.95938110351562,60.3145866394043,41.167728424072266,80.5270767211914
2022-04-18,218.4915313720703,158.04986572265625,59.776573181152344,41.577030181884766,81.18721008300781
2022-04-19,220.6201934814453,156.17750549316406,60.36097717285156,41.33906936645508,80.46290588378906
2022-04-20,223.39503479003906,156.8137664794922,61.18655776977539,40.62517547607422,80.64625549316406
2022-04-21,221.00982666015625,149.5879364013672,61.4184684753418,38.692909240722656,79.79359436035156
2022-04-22,206.53427124023438,146.2886199951172,60.5279541015625,39.6447639465332,78.05157470703125
2022-04-25,206.9162139892578,143.143798828125,61.16802215576172,36.8272705078125,75.42021179199219
2022-04-26,200.80520629882812,142.271240234375,60.34242630004883,37.6363525390625,75.44772338867188
2022-04-27,204.2999267578125,142.00765991210938,60.815513610839844,38.026607513427734,77.6023178100586
2022-04-28,202.8485565185547,147.05209350585938,61.399925231933594,38.17890930175781,79.94945526123047
2022-04-29,201.03431701660156,142.39846801757812,59.934261322021484,37.131866455078125,78.16159057617188
2022-05-02,202.49526977539062,145.19790649414062,58.84893035888672,37.227046966552734,79.22515869140625
2022-05-03,203.97528076171875,147.6883087158203,58.514991760253906,38.216983795166016,80.85713958740234
2022-05-04,212.54029846191406,152.32376098632812,60.32386779785156,40.54902267456055,84.07528686523438
2022-05-05,206.1809539794922,151.11489868164062,59.84151077270508,40.05406188964844,82.80086517333984
2022-05-06,204.95877075195312,155.14137268066406,60.05486297607422,40.95832061767578,84.06612396240234
2022-05-09,196.97621154785156,144.74346923828125,59.934261322021484,36.20856475830078,77.43729400634766
2022-05-10,193.82522583007812,146.1340789794922,59.377689361572266,36.06578826904297,77.95071411132812
2022-05-11,195.94497680664062,148.29730224609375,59.655967712402344,36.522682189941406,79.57353973388672
2022-05-12,193.8634033203125,149.70611572265625,59.84151077270508,37.150909423828125,79.93478393554688
2022-05-13,195.10470581054688,152.5782470703125,60.963932037353516,38.77857971191406,82.30596160888672
2022-05-16,197.83558654785156,157.25003051757812,61.18655776977539,40.111175537109375,84.24180603027344
2022-05-17,203.4691619873047,158.1771240234375,61.01959228515625,40.882171630859375,85.31625366210938
2022-05-18,198.55174255371094,154.007568359375,56.77104187011719,39.14979934692383,83.96393585205078
2022-05-19,197.4249725341797,152.90792846679688,55.65788269042969,38.88327407836914,84.41779327392578
2022-05-20,188.8886260986328,153.7876434326172,56.56696319580078,39.14027786254883,85.08468627929688
2022-05-23,194.93283081054688,157.36154174804688,58.3109130859375,41.70077133178711,86.9649658203125
2022-05-24,196.36512756347656,158.20460510253906,59.386962890625,41.786441802978516,87.43736267089844
2022-05-25,199.85986328125,160.74302673339844,59.433345794677734,42.88107681274414,89.19721984863281
2022-05-26,203.37371826171875,161.82432556152344,59.64670181274414,44.442108154296875,89.51213073730469
2022-05-27,207.3363494873047,163.37301635742188,59.999202728271484,45.8889274597168,90.39205932617188
2022-05-31,206.10458374023438,160.0557098388672,58.79328155517578,43.90664291381836,88.91934204101562
2022-06-01,207.7469482421875,161.57691955566406,58.50571823120117,44.59446716308594,90.62361145019531
2022-06-02,210.06723022460938,161.28367614746094,59.117950439453125,44.231449127197266,90.4661636352539
2022-06-03,212.8363037109375,162.74989318847656,58.41294860839844,45.34918212890625,91.78143310546875
2022-06-06,213.53334045410156,162.0442657470703,58.32018280029297,45.11034393310547,91.54986572265625
2022-06-07,216.84666442871094,165.1324920654297,58.67268753051758,46.743953704833984,95.7457504272461
2022-06-08,219.42477416992188,165.98472595214844,58.3387451171875,47.355350494384766,96.87576293945312
2022-06-09,213.57151794433594,162.67657470703125,57.32762145996094,45.989234924316406,94.78245544433594
2022-06-10,205.46482849121094,160.73382568359375,56.965850830078125,45.100791931152344,93.0503921508789
2022-06-13,197.5395965576172,153.338623046875,56.900909423828125,42.339900970458984,88.78041076660156
2022-06-14,197.358154296875,153.54022216796875,55.340572357177734,41.2890510559082,89.01195526123047
2022-06-15,196.6992950439453,150.52528381347656,55.751678466796875,39.665000915527344,87.8912124633789
2022-06-16,185.9954071044922,142.47946166992188,55.191078186035156,36.76081848144531,84.64936065673828
2022-06-17,183.9425048828125,135.97311401367188,55.527435302734375,35.003028869628906,79.76805114746094
2022-06-21,187.50408935546875,141.6638641357422,56.714046478271484,37.08563232421875,84.73271942138672
2022-06-22,179.3496856689453,135.50575256347656,57.13449478149414,35.84371566772461,81.37973022460938
2022-06-23,170.60324096679688,130.52064514160156,57.816558837890625,33.41719055175781,78.9251708984375
2022-06-24,177.11532592773438,132.66497802734375,58.90038299560547,33.49361801147461,80.49053192138672
2022-06-27,179.12049865722656,135.23085021972656,58.7789192199707,34.28653335571289,82.46343231201172
2022-06-28,178.97727966308594,137.40269470214844,58.19029235839844,35.31828689575195,84.7512435913086
2022-06-29,175.196044921875,134.69020080566406,58.61073684692383,34.56358337402344,81.62054443359375
2022-06-30,170.68917846679688,132.6741485595703,58.7789192199707,34.1623420715332,79.3234634399414
2022-07-01,170.24038696289062,134.25949096679688,60.15238571166992,34.05725860595703,81.09258270263672
2022-07-05,165.91490173339844,130.73138427734375,59.1246223449707,31.840909957885742,78.55467224121094
2022-07-06,164.53036499023438,129.00863647460938,59.24608612060547,31.267717361450195,77.13752746582031
2022-07-07,172.1405487060547,131.51950073242188,58.7789192199707,32.84400177001953,79.60132598876953
2022-07-08,171.0138397216797,130.83218383789062,58.99382400512695,32.786678314208984,79.73101043701172
2022-07-11,167.11802673339844,129.67755126953125,58.806949615478516,31.879121780395508,79.3234634399414
2022-07-12,166.6119842529297,127.30413818359375,58.55467987060547,31.267717361450195,78.26753997802734
2022-07-13,166.0199737548828,126.451904296875,58.28372573852539,30.847375869750977,78.58245849609375
2022-07-14,162.26736450195312,124.57332611083984,58.096858978271484,29.930265426635742,77.00784301757812
2022-07-15,165.5520782470703,126.14031219482422,58.395851135253906,30.8569278717041,78.3045883178711
2022-07-18,165.65711975097656,127.90894317626953,57.60165786743164,31.649850845336914,79.74952697753906
2022-07-19,172.57992553710938,132.5183563232422,58.42387008666992,32.6911506652832,81.75948333740234
2022-07-20,173.0414581298828,134.2686309814453,57.461509704589844,32.61471939086914,82.65792083740234
2022-07-21,174.0221710205078,133.24227905273438,57.3306999206543,32.12751007080078,81.27783203125
2022-07-22,171.74339294433594,132.1334686279297,57.54560470581055,33.503173828125,80.65725708007812
2022-07-25,174.81060791015625,136.0647430419922,58.106201171875,34.55402374267578,83.34336853027344
2022-07-26,174.25291442871094,135.00177001953125,59.05922317504883,34.009490966796875,83.01917266845703
2022-07-27,178.1181640625,136.779541015625,58.872352600097656,34.70688247680664,84.81609344482422
2022-07-28,180.60842895507812,137.8150634765625,59.853397369384766,34.11458206176758,85.80715942382812
2022-07-29,190.61767578125,150.08546447753906,59.95618438720703,35.375606536865234,89.78075408935547
2022-08-01,187.35818481445312,147.0888671875,60.28319549560547,34.77375030517578,87.51144409179688
2022-08-02,176.4451446533203,145.8334197998047,59.46098709106445,35.05078887939453,87.13169860839844
2022-08-03,175.82977294921875,142.36949157714844,59.722599029541016,33.952178955078125,84.306640625
2022-08-04,176.5701446533203,138.50233459472656,59.489009857177734,32.43320846557617,80.75914764404297
2022-08-05,178.2527618408203,140.79330444335938,59.21805953979492,33.11149215698242,81.92620086669922
2022-08-08,178.65660095214844,140.58255004882812,58.83497619628906,33.1019401550293,82.38932037353516
2022-08-09,178.8681182861328,142.41531372070312,58.909725189208984,33.42674255371094,83.90835571289062
2022-08-10,183.37757873535156,142.79103088378906,59.4703254699707,33.3598747253418,84.70492553710938
2022-08-11,186.5312957763672,146.2732696533203,59.068565368652344,35.24186325073242,87.15528106689453
2022-08-12,189.261962890625,146.4840545654297,59.51704788208008,35.48069381713867,87.91281127929688
2022-08-15,188.4062042236328,143.6982421875,60.26450729370117,34.1623420715332,86.34161376953125
2022-08-16,189.91578674316406,143.3317108154297,60.75970458984375,33.990386962890625,85.53729248046875
2022-08-17,188.3870086669922,144.51380920410156,60.61955642700195,33.81843185424805,86.22938537597656
2022-08-18,189.75234985351562,147.04754638671875,60.937232971191406,35.47114181518555,88.26820373535156
2022-08-19,188.0697021484375,145.8176727294922,60.89051818847656,35.46158218383789,87.98764038085938
2022-08-22,184.37753295898438,145.08712768554688,59.98421096801758,35.27051544189453,87.92218017578125
2022-08-23,189.6177520751953,149.79393005371094,60.049617767333984,37.60150146484375,91.6537857055664
2022-08-24,186.68515014648438,150.90359497070312,60.13370895385742,38.12693405151367,92.19622039794922
2022-08-25,191.22341918945312,152.2259063720703,60.4233512878418,38.37531661987305,92.67320251464844
2022-08-26,184.5313720703125,151.10702514648438,58.96578598022461,37.65882110595703,91.53221130371094
2022-08-29,184.3967742919922,152.23516845703125,58.61073684692383,38.57593536376953,93.6364974975586
2022-08-30,179.7430877685547,148.5270538330078,58.06883239746094,36.95188903808594,90.07322692871094
2022-08-31,177.59893798828125,146.1597900390625,57.65771484375,36.44557189941406,89.39984893798828
2022-09-01,175.4163360595703,143.82952880859375,57.928672790527344,35.20364761352539,87.7912368774414
2022-09-02,173.8683319091797,145.9656219482422,57.13449478149414,36.369140625,89.39984893798828
2022-09-06,173.7048797607422,145.29058837890625,57.16252136230469,35.85568618774414,88.80128479003906
2022-09-07,173.8971710205078,143.43191528320312,58.218318939208984,35.56776428222656,88.04373931884766
2022-09-08,176.09901428222656,144.20864868164062,58.040794372558594,36.6330680847168,88.7638931274414
2022-09-09,182.1949462890625,147.92601013183594,58.227664947509766,38.0534782409668,90.25092315673828
2022-09-12,184.99290466308594,150.26553344726562,58.395851135253906,38.53334426879883,91.28903198242188
2022-09-13,177.21435546875,147.40817260742188,56.49915313720703,36.920982360839844,89.15669250488281
2022-09-14,177.54124450683594,150.97756958007812,56.798133850097656,38.619720458984375,91.34516143798828
2022-09-15,175.46441650390625,148.5270538330078,56.02639389038086,38.03428649902344,88.68907928466797
2022-09-16,172.56068420410156,144.6710205078125,56.03581237792969,36.825016021728516,87.1739730834961
2022-09-19,175.0990447998047,145.08712768554688,56.45932388305664,37.40085220336914,87.16461181640625
2022-09-20,171.13766479492188,144.51382446289062,56.37461853027344,36.949771881103516,86.45384216308594
2022-09-21,165.3302001953125,143.3394317626953,55.90404510498047,36.06682586669922,85.0603256225586
2022-09-22,163.98410034179688,143.2284698486328,55.77228927612305,36.69064712524414,84.7049331665039
2022-09-23,157.91702270507812,133.87042236328125,55.1511344909668,33.59070587158203,80.19706726074219
2022-09-26,156.35939025878906,130.34725952148438,54.464088439941406,32.496612548828125,78.54168701171875
2022-09-27,156.18630981445312,130.40274047851562,53.06178283691406,32.611778259277344,80.18770599365234
2022-09-28,161.30149841308594,134.8043670654297,53.62647247314453,34.01298904418945,83.10566711425781
2022-09-29,159.51309204101562,133.87042236328125,53.24060821533203,34.52165222167969,82.93733215332031
2022-09-30,157.76316833496094,132.8532257080078,52.72297668457031,34.454471588134766,81.65604400634766
2022-10-03,164.63790893554688,140.30641174316406,53.31589889526367,36.75783157348633,85.96751403808594
2022-10-04,172.7145538330078,145.76219177246094,53.43824005126953,37.54481506347656,89.10057067871094
2022-10-05,171.5126495361328,146.5944366455078,52.93002700805664,39.89616012573242,92.7012710571289
2022-10-06,171.9261016845703,149.26683044433594,51.791236877441406,40.77912521362305,95.45087432861328
2022-10-07,170.714599609375,147.98150634765625,51.301841735839844,40.87509536743164,94.48755645751953
2022-10-10,171.79148864746094,145.30908203125,51.188899993896484,40.433616638183594,92.43938446044922
2022-10-11,172.8299102783203,145.33682250976562,51.27360534667969,40.07851028442383,91.6537857055664
2022-10-12,172.5895538330078,145.77142333984375,51.89476776123047,40.32804870605469,92.05594635009766
2022-10-13,176.08941650390625,152.8362274169922,52.5817985534668,42.410667419433594,95.27317810058594
2022-10-14,171.32997131347656,148.0832061767578,51.74418640136719,40.46240997314453,92.76673126220703
2022-10-17,173.83949279785156,149.16513061523438,52.41239547729492,41.13422393798828,94.1041259765625
2022-10-18,176.48361206054688,150.46896362304688,53.11825180053711,41.61408996582031,94.27246856689453
2022-10-19,177.3105010986328,155.35145568847656,52.666507720947266,43.639129638671875,97.06884765625
2022-10-20,173.58946228027344,156.2391357421875,51.838294982910156,43.85026550292969,97.19976806640625
2022-10-21,184.12063598632812,160.1506805419922,52.666507720947266,48.38021469116211,99.0047836303711
2022-10-24,185.16600036621094,160.09523010253906,54.1817512512207,50.0501594543457,99.69686889648438
2022-10-25,188.59249877929688,161.75967407226562,55.480533599853516,50.357269287109375,99.02350616455078
2022-10-26,190.64453125,163.75704956054688,55.894630432128906,50.078941345214844,100.201904296875
2022-10-27,205.33778381347656,164.50607299804688,56.02639389038086,49.59907913208008,100.58535766601562
2022-10-28,212.30690002441406,166.42947387695312,57.18400192260742,48.41860580444336,103.53137969970703
2022-10-31,209.51927185058594,167.2801971435547,56.32756042480469,49.93498992919922,103.63423919677734
2022-11-01,211.49383544921875,168.50083923339844,56.129920959472656,49.47431182861328,104.66301727294922
