Date,AAPL,BA,COST,GS,SLB,V,WMT
2023-02-15,154.1176300048828,217.44000244140625,494.7890930175781,356.0136413574219,54.17428970336914,226.26441955566406,47.65804672241211
2023-02-16,152.51025390625,212.2100067138672,487.8406677246094,352.0763244628906,53.971099853515625,223.2102813720703,46.91019058227539
2023-02-17,151.3593292236328,211.66000366210938,491.11163330078125,350.4595947265625,51.6102294921875,220.9665985107422,47.61577224731445
2023-02-21,147.3210906982422,205.52000427246094,485.5567626953125,343.4408874511719,51.66828918457031,218.0607147216797,47.9051628112793
2023-02-22,147.74774169921875,205.75999450683594,481.3470764160156,343.2221374511719,50.710391998291016,217.4676971435547,46.90043640136719
2023-02-23,148.23390197753906,208.1300048828125,477.2342224121094,345.74237060546875,51.59087371826172,218.56478881835938,46.201351165771484
2023-02-24,145.56491088867188,198.14999389648438,472.85028076171875,346.0372009277344,52.171417236328125,217.0031280517578,46.32490921020508
2023-02-27,146.76547241210938,200.4600067138672,471.3212585449219,347.6349792480469,52.63585662841797,217.79385375976562,45.9900016784668
2023-02-28,146.25942993164062,201.5500030517578,468.56317138671875,334.4344482421875,51.48444747924805,217.3885955810547,46.21434783935547
2023-03-01,144.17584228515625,204.5500030517578,463.2309265136719,331.6375427246094,53.109962463378906,215.82691955566406,45.5705451965332
2023-03-02,144.77117919921875,210.05999755859375,470.02447509765625,334.3865661621094,53.50666427612305,216.518798828125,45.68435287475586
2023-03-03,149.85118103027344,215.11000061035156,459.9308776855469,342.03985595703125,54.17428970336914,221.17416381835938,45.739627838134766
2023-03-06,152.6293487548828,211.9199981689453,467.49859619140625,342.0014953613281,53.55504608154297,224.1195831298828,45.73311996459961
2023-03-07,150.41673278808594,207.9199981689453,469.50189208984375,331.4938659667969,52.28752899169922,220.58111572265625,45.27790832519531
2023-03-08,151.67681884765625,207.1999969482422,470.3631286621094,334.5685729980469,51.803741455078125,219.6125030517578,44.90397644042969
2023-03-09,149.41461181640625,201.24000549316406,464.053466796875,327.6720275878906,50.49751663208008,217.45779418945312,44.60158157348633
2023-03-10,147.34092712402344,203.07000732421875,455.94378662109375,313.8597717285156,49.34611511230469,213.63270568847656,44.53654479980469
2023-03-13,149.29556274414062,203.3699951171875,456.7760009765625,302.2123107910156,47.25615692138672,211.98204040527344,44.6666145324707
2023-03-14,151.39901733398438,207.27999877929688,466.37603759765625,308.57244873046875,47.75929641723633,216.12344360351562,44.90397644042969
2023-03-15,151.79588317871094,198.2100067138672,469.9954528808594,299.0322265625,43.85030746459961,213.86001586914062,45.40471267700195
2023-03-16,154.63357543945312,203.19000244140625,471.5438232421875,301.8099670410156,44.68241882324219,214.92747497558594,45.14679718017578
2023-03-17,153.7902069091797,201.0500030517578,471.3406066894531,290.74676513671875,43.23106384277344,214.86817932128906,45.51245880126953
2023-03-20,156.17147827148438,204.77000427246094,473.50830078125,296.4843444824219,44.721126556396484,215.61935424804688,46.002193450927734
2023-03-21,158.03680419921875,204.6999969482422,475.01800537109375,303.9076843261719,46.714317321777344,219.3752899169922,45.84547805786133
2023-03-22,156.59811401367188,196.16000366210938,471.7954406738281,300.4498291015625,45.86286163330078,217.4874267578125,45.5516357421875
2023-03-23,157.6895294189453,197.89999389648438,472.0277099609375,301.580078125,44.00511932373047,220.0078582763672,45.92056655883789
2023-03-24,158.9992218017578,197.52999877929688,479.2954406738281,299.3962097167969,43.124629974365234,218.47581481933594,46.29602813720703
2023-03-27,157.0446014404297,200.57000732421875,477.31158447265625,305.1050109863281,45.253292083740234,219.23690795898438,47.06980514526367
2023-03-28,156.4195098876953,204.9600067138672,471.06964111328125,305.018798828125,46.09507369995117,217.77407836914062,46.88697052001953
2023-03-29,159.5151824951172,207.97000122070312,475.0373840332031,307.20269775390625,47.120697021484375,220.7096405029297,47.08939743041992
2023-03-30,161.09275817871094,211.0399932861328,475.6277160644531,307.60498046875,47.15940475463867,219.78053283691406,47.559539794921875
2023-03-31,163.6129608154297,212.42999267578125,480.84381103515625,313.3233947753906,47.50772476196289,222.84457397460938,48.140689849853516
2023-04-03,164.87303161621094,215.38999938964844,480.9986877441406,312.75823974609375,50.63298034667969,226.343505859375,48.545528411865234
2023-04-04,164.33724975585938,213.89999389648438,481.6761169433594,309.05133056640625,48.82362365722656,225.01905822753906,48.06886291503906
