Date,BTC-USD,ETH-USD,GOOGL,GS,LTC-USD,MSFT,XRP-USD
2021-03-08,52246.5234375,1834.7279052734375,100.12706756591797,305.5125732421875,191.9276885986328,220.74652099609375,0.47359699010849
2021-03-09,54824.1171875,1868.048828125,101.76600646972656,302.2215576171875,203.6378631591797,226.94979858398438,0.48598799109458923
2021-03-10,56008.55078125,1799.166259765625,101.55802917480469,312.6706237792969,200.51686096191406,225.62953186035156,0.4631659984588623
2021-03-11,57805.12109375,1826.1949462890625,104.767578125,312.7438659667969,201.25033569335938,230.2019500732422,0.4529600143432617
2021-03-12,57332.08984375,1772.1024169921875,102.24681854248047,318.8780822753906,220.82940673828125,228.86224365234375,0.44113099575042725
2021-03-15,55907.19921875,1791.7022705078125,102.46827697753906,316.3548889160156,201.26461791992188,227.9497528076172,0.4375549852848053
2021-03-16,56804.90234375,1806.9718017578125,103.93714141845703,312.3873291015625,201.04063415527344,230.76498413085938,0.4625999927520752
2021-03-17,58870.89453125,1823.4493408203125,103.85383605957031,315.3493957519531,206.06793212890625,230.1145477294922,0.4724169969558716
2021-03-18,57858.921875,1782.8551025390625,100.8173599243164,318.1375732421875,200.5373077392578,223.97923278808594,0.4729189872741699
2021-03-19,58346.65234375,1817.6241455078125,101.09766387939453,314.66363525390625,201.063720703125,223.62002563476562,0.47117099165916443
2021-03-22,54529.14453125,1691.333984375,101.28370666503906,310.2115478515625,187.0778350830078,229.09524536132812,0.5499420166015625
2021-03-23,54738.9453125,1678.650146484375,101.81439208984375,303.30029296875,187.3939666748047,230.6387939453125,0.5565950274467468
2021-03-24,52774.265625,1593.4134521484375,101.37548065185547,300.4480285644531,177.6549530029297,228.58074951171875,0.48883700370788574
2021-03-25,51704.16015625,1595.3592529296875,101.37199401855469,302.18499755859375,173.06118774414062,225.55189514160156,0.5174980163574219
2021-03-26,55137.3125,1702.842041015625,100.9864501953125,299.296142578125,184.27867126464844,229.5709228515625,0.5670549869537354
2021-03-29,57750.19921875,1819.6849365234375,102.0368423461914,297.7785949707031,194.4747772216797,228.3671417236328,0.5678709745407104
2021-03-30,58917.69140625,1846.03369140625,102.07075500488281,303.5197448730469,196.68209838867188,225.07620239257812,0.5668590068817139
2021-03-31,58918.83203125,1918.362060546875,102.87126922607422,298.9396667480469,197.4990997314453,228.88165283203125,0.573868989944458
2021-04-01,59095.80859375,1977.27685546875,106.22595977783203,299.5246887207031,204.11251831054688,235.2694091796875,0.5792919993400574
2021-04-05,59057.87890625,2107.88720703125,110.6739501953125,295.7764892578125,221.0690460205078,241.79310607910156,0.9204729795455933
2021-04-06,58192.359375,2118.37890625,110.19014739990234,298.99444580078125,237.66490173339844,240.618408203125,1.0962660312652588
2021-04-07,56048.9375,1971.0772705078125,111.67498016357422,298.5281982421875,219.42367553710938,242.5988311767578,0.917576014995575
2021-04-08,58323.953125,2088.57373046875,112.24356842041016,302.724365234375,227.00302124023438,245.8509521484375,1.0527559518814087
2021-04-09,58245.00390625,2072.10888671875,113.25306701660156,302.4226379394531,221.86236572265625,248.37501525878906,1.0208369493484497
2021-04-12,59893.453125,2139.353271484375,111.95378875732422,303.3642883300781,244.49436950683594,248.4332733154297,1.4677350521087646
