Date,ETH-USD,JNJ,MMM,T,V
2023-03-28,1772.78564453125,145.00848388671875,78.97428894042969,16.97238540649414,217.77407836914062
2023-03-29,1793.0018310546875,146.43162536621094,80.09983825683594,17.226245880126953,220.7096405029297
2023-03-30,1792.7371826171875,146.54623413085938,79.78157043457031,17.298776626586914,219.78053283691406
2023-03-31,1822.0220947265625,148.0457763671875,81.59020233154297,17.452909469604492,222.84457397460938
2023-04-03,1810.297119140625,149.8127899169922,81.17103576660156,17.579837799072266,226.343505859375
2023-04-04,1871.005126953125,151.3792266845703,79.37016296386719,17.806499481201172,225.01905822753906
2023-04-05,1909.114013671875,158.1797637939453,79.4012222290039,18.024093627929688,225.52313232421875
2023-04-06,1872.922607421875,157.7404022216797,78.8345718383789,18.06822967529297,223.36842346191406
2023-04-10,1911.20751953125,156.94764709472656,79.76604461669922,17.994667053222656,223.8032989501953
2023-04-11,1892.189697265625,156.89988708496094,81.16328430175781,18.105009078979492,225.79986572265625
2023-04-12,1920.68212890625,156.56556701660156,81.01580047607422,18.178569793701172,225.16732788085938
2023-04-13,2012.6346435546875,158.6573486328125,82.39749908447266,18.353273391723633,229.99069213867188
2023-04-14,2101.635498046875,158.39944458007812,82.10252380371094,18.3256893157959,231.30528259277344
2023-04-17,2076.242919921875,158.23707580566406,82.88652038574219,18.196958541870117,230.7715301513672
2023-04-18,2104.537353515625,153.7861328125,82.49064636230469,18.224544525146484,230.89013671875
2023-04-19,1936.4034423828125,155.23794555664062,82.34315490722656,18.114208221435547,229.87210083007812
2023-04-20,1943.09765625,156.24082946777344,81.29523468017578,16.229225158691406,231.87855529785156
2023-04-21,1849.9998779296875,155.39076232910156,81.1011734008789,16.753341674804688,231.33489990234375
2023-04-24,1842.7574462890625,156.33633422851562,81.55139923095703,16.118885040283203,230.05987548828125
2023-04-25,1866.753662109375,157.76902770996094,81.01580047607422,16.100494384765625,226.92666625976562
2023-04-26,1866.564208984375,155.3238983154297,79.89025115966797,15.815448760986328,225.5033416748047
2023-04-27,1908.786376953125,155.6868438720703,81.76097869873047,16.19244384765625,226.3533935546875
2023-04-28,1892.5128173828125,156.35545349121094,82.45182800292969,16.24761390686035,230.0302276611328
2023-05-01,1831.954833984375,156.25994873046875,82.16461944580078,16.091297149658203,229.81277465820312
2023-05-02,1870.789306640625,157.6257781982422,79.93682861328125,15.695913314819336,224.34693908691406
2023-05-03,1904.65185546875,155.56268310546875,79.82038879394531,15.714303970336914,223.35850524902344
2023-05-04,1877.7041015625,154.8558807373047,79.05191040039062,15.548791885375977,222.9829559326172
2023-05-05,1995.0609130859375,155.3812255859375,80.22402954101562,15.751081466674805,229.0912628173828
2023-05-08,1849.042724609375,155.02780151367188,79.44003295898438,15.741888999938965,229.53602600097656
2023-05-09,1848.6031494140625,153.8243408203125,78.24463653564453,15.64993667602539,230.55406188964844
2023-05-10,1842.4014892578125,154.39743041992188,78.32225799560547,15.668328285217285,228.587158203125
2023-05-11,1796.4906005859375,153.76702880859375,78.2291030883789,15.594766616821289,228.77532958984375
2023-05-12,1808.019775390625,153.56646728515625,77.83321380615234,15.659133911132812,229.14175415039062
2023-05-15,1817.5499267578125,152.3916473388672,78.00399780273438,15.58557415008545,230.5579376220703
2023-05-16,1824.1214599609375,152.19107055664062,76.07893371582031,15.199381828308105,228.2405548095703
2023-05-17,1821.859619140625,151.85678100585938,77.76335906982422,15.318914413452148,230.3994598388672
2023-05-18,1801.728515625,151.36964416503906,78.5198745727539,15.217769622802734,231.3402862548828
2023-05-19,1812.5894775390625,151.7803497314453,78.03917694091797,14.997089385986328,231.05308532714844
2023-05-22,1817.5347900390625,150.9623565673828,80.15111541748047,15.061454772949219,229.04270935058594
2023-05-23,1854.380615234375,150.9046173095703,79.35519409179688,14.803994178771973,222.40753173828125
2023-05-24,1800.0999755859375,150.76026916503906,76.43157958984375,14.666069030761719,220.10008239746094
2023-05-25,1805.9537353515625,148.5950164794922,76.4788589477539,13.930466651916504,221.21914672851562
2023-05-26,1828.689697265625,148.5372772216797,76.3921890258789,14.252291679382324,222.83335876464844
