"","AAPL","MSFT","GOOGL","AMZN","TSLA","JPM","BAC","V","PG","KO","WMT","PEP","CVX","XOM","SLB","BA","UPS","CAT","MMM","JNJ","PFE","MRNA","DIS","NFLX","T","NVDA","ORCL","INTC","LMT","GS","COST","BTC.USD","ETH.USD","LTC.USD","XRP.USD"
"PFE",0.37176955999144,0.453244074278244,0.485039530413232,0.264940419688508,0.19189660627868,0.475343752135526,0.473732673834221,0.527939255503823,0.587280822929319,0.607466499525061,0.383793071855872,0.587995493268853,0.369224072497648,0.411615594163624,0.35836340621488,0.425296565806817,0.41781021938486,0.47998531403996,0.507831398688583,0.698786621256506,1,0.153034713886177,0.418674740329059,0.165534966888447,0.545355611994556,0.332864708531082,0.532156363344289,0.44584965683547,0.604141781425167,0.41741401110493,0.45279869113373,0.139574928559502,0.159174172222436,0.120882831950741,0.129697910544624
"MRNA",0.0594072317309686,0.101030643076071,0.010287724071525,0.0472963511776281,0.0523669533733191,-0.0557995207687368,-0.0501533435564288,-0.00740693122943985,0.179391140032387,0.132890546307511,0.161951972379409,0.172648590068849,-0.0136234984856548,0.0395990648486992,0.0260481211494516,-0.027989475403347,0.0255740045037827,0.0616634634868207,-0.000623002982758152,0.154576635987703,0.153034713886177,1,-0.0123293019721632,0.0315643570850714,0.0968935263720023,0.0922198893173397,0.0621873763600068,0.0195661261293912,0.0785696774580763,-0.071160151034301,0.102408259077959,-0.00241577548137773,-0.0251195463439329,-0.0251204570347786,0.0162943199307875
"DIS",0.449057612467711,0.548409967243564,0.597579954405685,0.327137234179175,0.350601552293143,0.679212501487063,0.693722576302751,0.726888466854142,0.403121590548458,0.627981811982444,0.250161855205499,0.479124442504104,0.628067415043781,0.661613154102013,0.672451337016314,0.627292211853441,0.414635966678193,0.611746530378469,0.62494012335345,0.477459931306552,0.418674740329059,-0.0123293019721632,1,0.202889517795463,0.640102648755138,0.415607170847901,0.510422198873533,0.466020068681504,0.531972162963695,0.702887885219644,0.330249974485842,0.381426221364596,0.352477394926312,0.311968459481507,0.263083904058073
"NFLX",0.513761798354946,0.5716271947132,0.477149236466547,0.641892835155384,0.427774217907908,0.0783095920399622,0.0841928296127772,0.252244008612183,0.326410217514146,0.133526050856798,0.406792500660241,0.319284924466457,0.0688701183849854,0.0668625291786296,0.111453158520941,0.168447204628977,0.29243946890077,0.104658536966099,0.177877496128267,0.2105439285212,0.165534966888447,0.0315643570850714,0.202889517795463,1,0.135784332623675,0.533060932430211,0.384215918233213,0.37822940803218,0.228257700644665,0.211172470364293,0.453130502725698,0.27587579702101,0.2806786812205,0.207753983289316,0.163288822532386
"T",0.436366940061567,0.496358159880364,0.533523456289652,0.268901377970875,0.237014308067288,0.702516964271923,0.735991327931669,0.638226961354532,0.635649526729517,0.756185008975494,0.38828315516129,0.648141866663471,0.551974360925653,0.642759282104468,0.570519362002281,0.529522010344954,0.44749041809381,0.655884072372735,0.697479773861533,0.620807474637718,0.545355611994556,0.0968935263720023,0.640102648755138,0.135784332623675,1,0.321196136774401,0.577082796445597,0.506605397698089,0.65481017467718,0.69875513746671,0.522977936817632,0.289810570969747,0.294426841920278,0.234444482925736,0.229553580017997
"NVDA",0.724466990244769,0.753144791923284,0.653789091114131,0.653123500171077,0.536476620498196,0.306273947605487,0.339126262671711,0.581510965043905,0.464022808363793,0.370265812041323,0.442281759488418,0.55819634437508,0.336820108410244,0.348992963158195,0.316741949066481,0.370469608550326,0.429810288412788,0.32825505191654,0.390802234176124,0.404409547183353,0.332864708531082,0.0922198893173397,0.415607170847901,0.533060932430211,0.321196136774401,1,0.531092579615749,0.526028400923777,0.408832904119006,0.42323154692222,0.524802069713458,0.299659810690135,0.299123112948683,0.271527060620465,0.218826678296585
"ORCL",0.539140389805859,0.622999955739877,0.551231440557858,0.49170729904059,0.260904619851806,0.520980035926954,0.562548152769542,0.539612520253664,0.62894984998163,0.527018695409332,0.487160099548983,0.663652566605614,0.336232666780495,0.42596927824618,0.372710529572365,0.422931506351016,0.500555117565712,0.492726862013009,0.510610259365448,0.562127607035778,0.532156363344289,0.0621873763600068,0.510422198873533,0.384215918233213,0.577082796445597,0.531092579615749,1,0.50699884731501,0.5824323408222,0.533596858508261,0.541576510917827,0.314700874724919,0.298818801001767,0.262375182180829,0.225071692222802
"INTC",0.52414929185164,0.611360371484248,0.572202151032821,0.445417243797015,0.338507731944458,0.433777235041336,0.451445795275925,0.542966443520968,0.445555391750277,0.492304190950525,0.407768942784556,0.551417413771181,0.419735382023564,0.45137172333192,0.436021562303205,0.465864392887628,0.394836935034709,0.42647781181615,0.439045156659569,0.477694945049359,0.44584965683547,0.0195661261293912,0.466020068681504,0.37822940803218,0.506605397698089,0.526028400923777,0.50699884731501,1,0.476222276282717,0.473974141885563,0.513142158775804,0.301828755081039,0.299859312912842,0.228780318616757,0.196739101543122
"LMT",0.470315171775169,0.539376292408147,0.529987465858671,0.304366274224657,0.224318271424768,0.576117682845371,0.588111251910273,0.643368417392096,0.685018029999033,0.663704960773172,0.462835034285067,0.703138720834649,0.476026890584181,0.55672218486325,0.456445218150022,0.549624347411506,0.494757846988701,0.593078617323414,0.644554474249872,0.621644010007506,0.604141781425167,0.0785696774580763,0.531972162963695,0.228257700644665,0.65481017467718,0.408832904119006,0.5824323408222,0.476222276282717,1,0.523975143651399,0.558638215140462,0.332491329660163,0.332270557335343,0.254753956653982,0.220232489159453
"GS",0.514404218487764,0.539939024500941,0.578669781566913,0.293007769346818,0.392408962023425,0.857260102291043,0.84549321660145,0.702902990201901,0.418323809033028,0.669427106173165,0.215223929619156,0.522541691022313,0.711512818087787,0.707050973713583,0.725381457150089,0.658725678946498,0.418167316464844,0.683092417973987,0.659543929944529,0.48802393315962,0.41741401110493,-0.071160151034301,0.702887885219644,0.211172470364293,0.69875513746671,0.42323154692222,0.533596858508261,0.473974141885563,0.523975143651399,1,0.36103321709652,0.359139979583186,0.330978617500446,0.299299545083765,0.263147921686674
"COST",0.587213294020446,0.675927833037582,0.585158787538288,0.568385866124733,0.294732337174181,0.269915817336847,0.302863232618242,0.509038801797707,0.705927322139252,0.445905870351071,0.714581844968128,0.627416182096246,0.153171535720667,0.248057507683477,0.236668866065699,0.221206451318392,0.46561686247347,0.359777606108346,0.456078155987158,0.568735606584712,0.45279869113373,0.102408259077959,0.330249974485842,0.453130502725698,0.522977936817632,0.524802069713458,0.541576510917827,0.513142158775804,0.558638215140462,0.36103321709652,1,0.337056224054669,0.329387986862244,0.286563901980616,0.189904715932713
"BTC.USD",0.344266298064092,0.373444404739671,0.35247841672421,0.297137333087247,0.244344034637885,0.258757333417171,0.293235761326095,0.351918517799741,0.311761420260285,0.272760334412659,0.281456768085359,0.329081450985403,0.245416767632138,0.318977442598084,0.354557137287769,0.28058571770467,0.21889811244749,0.321594057209301,0.312420964510976,0.2416959177074,0.139574928559502,-0.00241577548137773,0.381426221364596,0.27587579702101,0.289810570969747,0.299659810690135,0.314700874724919,0.301828755081039,0.332491329660163,0.359139979583186,0.337056224054669,1,0.840412029683238,0.858148087837911,0.46068268470502
"ETH.USD",0.343442395880855,0.368278756369349,0.34185389994637,0.281984208694685,0.27689084657237,0.240838013646253,0.26800529967405,0.357270441771092,0.305813728782915,0.256336664967247,0.329033066572583,0.306380901071177,0.244810097712025,0.29908944144271,0.350955700015425,0.310361840817437,0.22804891826455,0.312785277927273,0.320191007736971,0.224530245327123,0.159174172222436,-0.0251195463439329,0.352477394926312,0.2806786812205,0.294426841920278,0.299123112948683,0.298818801001767,0.299859312912842,0.332270557335343,0.330978617500446,0.329387986862244,0.840412029683238,1,0.849500178851275,0.617729299570353
"LTC.USD",0.317412127483602,0.334752370268988,0.294460835549517,0.263489096782959,0.237668239520965,0.217993829707975,0.246086000128256,0.301708744849975,0.281897403465165,0.240129040325958,0.27412785848174,0.283371814460657,0.209493390095541,0.240133956095686,0.306460716519133,0.254485677501888,0.180306428968719,0.270781487713627,0.257495980381629,0.219479423591333,0.120882831950741,-0.0251204570347786,0.311968459481507,0.207753983289316,0.234444482925736,0.271527060620465,0.262375182180829,0.228780318616757,0.254753956653982,0.299299545083765,0.286563901980616,0.858148087837911,0.849500178851275,1,0.564509066604948
"XRP.USD",0.185612256143697,0.245923641185176,0.186524408003519,0.144893953135118,0.212273129997799,0.20225259230945,0.222468079531501,0.248608395540934,0.219763660108921,0.151486688149617,0.208616334744788,0.212940831978361,0.234870419354067,0.273523746124642,0.270457688923102,0.246978155254828,0.193719996753151,0.21090172044468,0.257325806284099,0.143154039839308,0.129697910544624,0.0162943199307875,0.263083904058073,0.163288822532386,0.229553580017997,0.218826678296585,0.225071692222802,0.196739101543122,0.220232489159453,0.263147921686674,0.189904715932713,0.46068268470502,0.617729299570353,0.564509066604948,1
