Date,JNJ,KO,LMT,PEP,PG
2022-03-24,162.96743774414062,56.56696319580078,421.25823974609375,153.16799926757812,141.86477661132812
2022-03-25,164.52980041503906,57.0771598815918,424.9394226074219,153.88510131835938,143.50802612304688
2022-03-28,165.37608337402344,57.43893051147461,416.8089294433594,154.3413848876953,144.4939727783203
2022-03-29,165.29238891601562,57.66156768798828,409.4745788574219,156.6323699951172,145.9776153564453
2022-03-30,167.0128173828125,57.707950592041016,417.7175598144531,156.4181671142578,144.97286987304688
2022-03-31,164.81809997558594,57.513153076171875,413.4555358886719,155.8780059814453,143.47987365722656
2022-04-01,165.7108612060547,58.3201904296875,417.74560546875,158.094482421875,145.6302032470703
2022-04-04,164.11134338378906,58.014068603515625,415.90032958984375,157.68472290039062,144.6818084716797
2022-04-05,165.17147827148438,57.94913101196289,418.92584228515625,157.85232543945312,145.18882751464844
2022-04-06,169.46792602539062,58.53354263305664,425.8011474609375,160.5437469482422,147.26405334472656
2022-04-07,169.03082275390625,58.848934173583984,436.0391845703125,160.69276428222656,149.17022705078125
