Date,BAC,COST,CVX,MRNA,NVDA,PFE,XRP-USD
2021-03-08,34.02349090576172,297.1747131347656,95.12561798095703,123.47000122070312,11.564699172973633,29.630041122436523,0.47359699010849
2021-03-09,33.2812614440918,304.197998046875,94.90892791748047,130.8699951171875,12.49372386932373,29.71630096435547,0.48598799109458923
2021-03-10,34.243412017822266,309.0169677734375,96.5297622680664,129.75,12.4418363571167,30.130342483520508,0.4631659984588623
2021-03-11,34.124290466308594,313.61651611328125,96.37374877929688,140.47000122070312,12.965973854064941,29.94057846069336,0.4529600143432617
2021-03-12,34.765724182128906,315.99261474609375,96.69444274902344,136.99000549316406,12.828763008117676,30.138967514038086,0.44113099575042725
2021-03-15,34.591617584228516,315.3913879394531,95.55899047851562,143.66000366210938,13.16330337524414,30.54438591003418,0.4375549852848053
2021-03-16,34.49082565307617,312.280517578125,93.29678344726562,156.02000427246094,13.263092041015625,30.906688690185547,0.4625999927520752
2021-03-17,34.7748908996582,314.1318054199219,93.63481140136719,147.5500030517578,13.31298828125,30.872180938720703,0.4724169969558716
2021-03-18,35.68205261230469,308.2058410644531,90.24583435058594,141.4600067138672,12.69554615020752,30.854923248291016,0.4729189872741699
2021-03-19,35.30636215209961,313.8646240234375,89.60443115234375,143.74000549316406,12.818535804748535,30.64790916442871,0.47117099165916443
2021-03-22,34.5091438293457,319.1893005371094,88.87635040283203,145.60000610351562,13.158313751220703,31.05331039428711,0.5499420166015625
2021-03-23,33.81273651123047,324.771728515625,88.38232421875,136.52000427246094,13.043061256408691,30.50126075744629,0.5565950274467468
2021-03-24,33.81273651123047,322.5770568847656,90.74854278564453,131.61000061035156,12.616215705871582,30.71690559387207,0.48883700370788574
2021-03-25,34.5091438293457,330.4973449707031,91.06922912597656,133.3300018310547,12.508692741394043,30.768659591674805,0.5174980163574219
2021-03-26,35.443809509277344,335.91748046875,93.15811157226562,133.27999877929688,12.812047958374023,31.268970489501953,0.5670549869537354
2021-03-29,35.10477066040039,339.8585510253906,92.67272186279297,123.41999816894531,12.920817375183105,31.588125228881836,0.5678709745407104
2021-03-30,35.72787857055664,333.75128173828125,91.81464385986328,118.48999786376953,12.844480514526367,31.14820671081543,0.5668590068817139
2021-03-31,35.45297622680664,336.3564758300781,90.8265609741211,130.9499969482422,13.31997299194336,31.251720428466797,0.573868989944458
2021-04-01,36.18604278564453,338.70391845703125,91.65862274169922,132.5500030517578,13.782489776611328,31.312097549438477,0.5792919993400574
2021-04-05,36.4701042175293,344.31494140625,90.58384704589844,129.91000366210938,13.957868576049805,31.294845581054688,0.9204729795455933
2021-04-06,36.369300842285156,343.6469421386719,89.77780151367188,133.52999877929688,13.832133293151855,31.096446990966797,1.0962660312652588
2021-04-07,36.69919204711914,342.3968505859375,90.30651092529297,131.47000122070312,14.11353588104248,30.97568702697754,0.917576014995575
2021-04-08,36.37846755981445,344.6966247558594,89.29241943359375,133.8800048828125,14.286670684814453,31.018814086914062,1.0527559518814087
2021-04-09,36.644203186035156,346.59564208984375,89.20572662353516,140.9199981689453,14.369494438171387,31.57086753845215,1.0208369493484497
2021-04-12,36.70834732055664,348.1224365234375,88.2176284790039,139.39999389648438,15.176778793334961,31.890029907226562,1.4677350521087646
2021-04-13,36.0302619934082,348.50408935546875,88.61634063720703,149.7100067138672,15.646282196044922,32.05392837524414,1.7940009832382202
2021-04-14,36.54341506958008,346.5574645996094,90.37583923339844,160.02999877929688,15.244637489318848,32.06255340576172,1.8392360210418701
2021-04-15,35.49879455566406,351.929931640625,89.63909912109375,159.8699951171875,16.103063583374023,32.4334716796875,1.7660670280456543
2021-04-16,35.87448501586914,353.76202392578125,89.24039459228516,170.80999755859375,15.878787994384766,33.27019119262695,1.55752694606781
2021-04-19,35.8928108215332,352.6456298828125,89.50043487548828,161.91000366210938,15.329205513000488,33.580711364746094,1.3150440454483032
